"","benchmark","problem","plangraph","ps","horizon","SAT","total_time"
"1","blocks",10,"pfalse","parallel",15,0,100
"2","blocks",10,"pfalse","serial",33,0,100
"3","blocks",10,"ptruelboth","parallel",15,0,100
"4","blocks",10,"ptruelboth","serial",39,1,36.0273966789246
"5","blocks",10,"ptruelfmutex","parallel",15,0,100
"6","blocks",10,"ptruelfmutex","serial",39,1,36.2160816192627
"7","blocks",10,"ptruelreachable","parallel",15,0,100
"8","blocks",10,"ptruelreachable","serial",39,0,100
"9","blocks",11,"pfalse","parallel",15,0,100
"10","blocks",11,"pfalse","serial",33,0,100
"11","blocks",11,"ptruelboth","parallel",15,0,100
"12","blocks",11,"ptruelboth","serial",33,1,40.0023574829102
"13","blocks",11,"ptruelfmutex","parallel",15,0,100
"14","blocks",11,"ptruelfmutex","serial",33,1,39.1639740467072
"15","blocks",11,"ptruelreachable","parallel",15,0,100
"16","blocks",11,"ptruelreachable","serial",33,0,100
"17","blocks",12,"pfalse","parallel",15,0,100
"18","blocks",12,"pfalse","serial",33,0,100
"19","blocks",12,"ptruelboth","parallel",15,0,100
"20","blocks",12,"ptruelboth","serial",39,1,78.4164302349091
"21","blocks",12,"ptruelfmutex","parallel",15,0,100
"22","blocks",12,"ptruelfmutex","serial",39,1,82.082535982132
"23","blocks",12,"ptruelreachable","parallel",15,0,100
"24","blocks",12,"ptruelreachable","serial",33,0,100
"25","blocks",13,"pfalse","parallel",15,0,100
"26","blocks",13,"pfalse","serial",33,0,100
"27","blocks",13,"ptruelboth","parallel",15,0,100
"28","blocks",13,"ptruelboth","serial",39,0,100
"29","blocks",13,"ptruelfmutex","parallel",15,0,100
"30","blocks",13,"ptruelfmutex","serial",39,0,100
"31","blocks",13,"ptruelreachable","parallel",15,0,100
"32","blocks",13,"ptruelreachable","serial",33,0,100
"33","blocks",4,"pfalse","parallel",15,1,0.883588552474976
"34","blocks",4,"pfalse","serial",15,1,0.201685905456543
"35","blocks",4,"ptruelboth","parallel",15,1,0.494209766387939
"36","blocks",4,"ptruelboth","serial",15,1,0.260486364364624
"37","blocks",4,"ptruelfmutex","parallel",15,1,0.491507530212402
"38","blocks",4,"ptruelfmutex","serial",15,1,0.191035985946655
"39","blocks",4,"ptruelreachable","parallel",15,1,0.492758989334106
"40","blocks",4,"ptruelreachable","serial",15,1,0.195249080657959
"41","blocks",5,"pfalse","parallel",15,1,2.75025248527527
"42","blocks",5,"pfalse","serial",15,1,0.3006591796875
"43","blocks",5,"ptruelboth","parallel",15,1,1.62629294395447
"44","blocks",5,"ptruelboth","serial",15,1,0.275183916091919
"45","blocks",5,"ptruelfmutex","parallel",15,1,1.57334780693054
"46","blocks",5,"ptruelfmutex","serial",15,1,0.275470495223999
"47","blocks",5,"ptruelreachable","parallel",15,1,1.560382604599
"48","blocks",5,"ptruelreachable","serial",15,1,0.278358697891235
"49","blocks",6,"pfalse","parallel",15,1,7.99532341957092
