"","Code","Sector","SubSector","Date","Weekday","DayofMonth","Month","Year","WeekofYear","DayofYear","Open","High","Low","Close","Volume","Close.Open","Change","High.Low","HMLOL","PriorClose"
"1","3DP","Technology","Internet/Online",2017-01-09,"Monday",9,"January",2017,2,9,0.025,0.027,0.025,0.025,151868,0,"up",0.002,0.08,0.025
"2","3DP","Technology","Internet/Online",2017-01-10,"Tuesday",10,"January",2017,2,10,0.024,0.024,0.024,0.024,287890,0,"up",0,0,0.025
"3","3DP","Technology","Internet/Online",2017-01-11,"Wednesday",11,"January",2017,2,11,0.024,0.024,0.024,0.024,0,0,"up",0,0,0.024
"4","3DP","Technology","Internet/Online",2017-01-12,"Thursday",12,"January",2017,2,12,0.024,0.024,0.023,0.023,1000000,-0.001,"down",0.001,0.0434783,0.024
"5","3DP","Technology","Internet/Online",2017-01-13,"Friday",13,"January",2017,2,13,0.023,0.023,0.023,0.023,0,0,"up",0,0,0.023
"6","3DP","Technology","Internet/Online",2017-01-16,"Monday",16,"January",2017,3,16,0.024,0.024,0.024,0.024,0,0,"up",0,0,0.023
"7","3DP","Technology","Internet/Online",2017-01-17,"Tuesday",17,"January",2017,3,17,0.024,0.024,0.024,0.024,0,0,"up",0,0,0.024
"8","3DP","Technology","Internet/Online",2017-01-18,"Wednesday",18,"January",2017,3,18,0.027,0.027,0.027,0.027,71736,0,"up",0,0,0.024
"9","3DP","Technology","Internet/Online",2017-01-19,"Thursday",19,"January",2017,3,19,0.025,0.025,0.024,0.024,132702,-0.001,"down",0.001,0.0416667,0.027
"10","3DP","Technology","Internet/Online",2017-01-20,"Friday",20,"January",2017,3,20,0.023,0.023,0.021,0.021,252194,-0.002,"down",0.002,0.0952381,0.024
"11","3DP","Technology","Internet/Online",2017-01-23,"Monday",23,"January",2017,4,23,0.023,0.023,0.023,0.023,0,0,"up",0,0,0.021
"12","3DP","Technology","Internet/Online",2017-01-24,"Tuesday",24,"January",2017,4,24,0.023,0.023,0.023,0.023,0,0,"up",0,0,0.023
"13","3DP","Technology","Internet/Online",2017-01-25,"Wednesday",25,"January",2017,4,25,0.023,0.027,0.023,0.024,1270000,0.001,"up",0.004,0.173913,0.023
"14","3DP","Technology","Internet/Online",2017-01-27,"Friday",27,"January",2017,4,27,0.026,0.027,0.024,0.027,121908,0.001,"up",0.003,0.125,0.024
"15","3DP","Technology","Internet/Online",2017-01-30,"Monday",30,"January",2017,5,30,0.025,0.025,0.025,0.025,500000,0,"up",0,0,0.027
