Code,Sector,SubSector,Date,Weekday,DayofMonth,Month,Year, WeekofYear, DayofYear, Open, High, Low, Close,Volume,Close-Open,Change,High-Low,HMLOL,PriorClose
3DP,Technology,Internet/Online,20170109,Monday,09,January,2017,02,009,0.025,0.027,0.025,0.025,151868,0,up,0.002,0.08,0.025
3DP,Technology,Internet/Online,20170110,Tuesday,10,January,2017,02,010,0.024,0.024,0.024,0.024,287890,0,up,0,0,0.025
3DP,Technology,Internet/Online,20170111,Wednesday,11,January,2017,02,011,0.024,0.024,0.024,0.024,0,0,up,0,0,0.024
3DP,Technology,Internet/Online,20170112,Thursday,12,January,2017,02,012,0.024,0.024,0.023,0.023,1000000,-0.001,down,0.001,0.0434783,0.024
3DP,Technology,Internet/Online,20170113,Friday,13,January,2017,02,013,0.023,0.023,0.023,0.023,0,0,up,0,0,0.023
3DP,Technology,Internet/Online,20170116,Monday,16,January,2017,03,016,0.024,0.024,0.024,0.024,0,0,up,0,0,0.023
3DP,Technology,Internet/Online,20170117,Tuesday,17,January,2017,03,017,0.024,0.024,0.024,0.024,0,0,up,0,0,0.024
3DP,Technology,Internet/Online,20170118,Wednesday,18,January,2017,03,018,0.027,0.027,0.027,0.027,71736,0,up,0,0,0.024
3DP,Technology,Internet/Online,20170119,Thursday,19,January,2017,03,019,0.025,0.025,0.024,0.024,132702,-0.001,down,0.001,0.0416667,0.027
3DP,Technology,Internet/Online,20170120,Friday,20,January,2017,03,020,0.023,0.023,0.021,0.021,252194,-0.002,down,0.002,0.0952381,0.024
3DP,Technology,Internet/Online,20170123,Monday,23,January,2017,04,023,0.023,0.023,0.023,0.023,0,0,up,0,0,0.021
3DP,Technology,Internet/Online,20170124,Tuesday,24,January,2017,04,024,0.023,0.023,0.023,0.023,0,0,up,0,0,0.023
3DP,Technology,Internet/Online,20170125,Wednesday,25,January,2017,04,025,0.023,0.027,0.023,0.024,1270000,0.001,up,0.004,0.173913,0.023
3DP,Technology,Internet/Online,20170127,Friday,27,January,2017,04,027,0.026,0.027,0.024,0.027,121908,0.001,up,0.003,0.125,0.024
3DP,Technology,Internet/Online,20170130,Monday,30,January,2017,05,030,0.025,0.025,0.025,0.025,500000,0,up,0,0,0.027
3DP,Technology,Internet/Online,20170131,Tuesday,31,January,2017,05,031,0.024,0.025,0.023,0.023,1230000,-0.001,down,0.002,0.0869565,0.025
3DP,Technology,Internet/Online,20170201,Wednesday,01,February,2017,05,032,0.022,0.022,0.022,0.022,0,0,up,0,0,0.023
3DP,Technology,Internet/Online,20170202,Thursday,02,February,2017,05,033,0.023,0.023,0.023,0.023,521958,0,up,0,0,0.022
