"","Code","Sector","SubSector","Date","Weekday","DayofMonth","Month","Year","WeekofYear","DayofYear","Open","High","Low","Close","Volume","Close.Open","Change","High.Low","HMLOL","PriorClose"
"17906","WOW","Retail/Wholesale","Retail",2017-01-09,"Monday",9,"January",2017,2,9,24.3,24.65,24.28,24.39,3430000,0.09,"up",0.37,0.0152389,24.39
"17907","WOW","Retail/Wholesale","Retail",2017-01-10,"Tuesday",10,"January",2017,2,10,24.38,24.45,24.17,24.21,1660000,-0.17,"down",0.28,0.0115846,24.39
"17908","WOW","Retail/Wholesale","Retail",2017-01-11,"Wednesday",11,"January",2017,2,11,24.25,24.54,24.21,24.4,3430000,0.15,"up",0.33,0.0136307,24.21
"17909","WOW","Retail/Wholesale","Retail",2017-01-12,"Thursday",12,"January",2017,2,12,24.46,24.54,24.21,24.27,3240000,-0.19,"down",0.33,0.0136307,24.4
"17910","WOW","Retail/Wholesale","Retail",2017-01-13,"Friday",13,"January",2017,2,13,24.38,24.47,24.12,24.38,2029999,0,"up",0.35,0.0145108,24.27
"17911","WOW","Retail/Wholesale","Retail",2017-01-16,"Monday",16,"January",2017,3,16,24.4,24.65,24.4,24.47,1280000,0.07,"up",0.25,0.0102459,24.38
"17912","WOW","Retail/Wholesale","Retail",2017-01-17,"Tuesday",17,"January",2017,3,17,24.32,24.47,24.27,24.42,1270000,0.1,"up",0.2,0.00824063,24.47
"17913","WOW","Retail/Wholesale","Retail",2017-01-18,"Wednesday",18,"January",2017,3,18,24.2,24.39,24.17,24.3,1960000,0.1,"up",0.22,0.00910219,24.42
"17914","WOW","Retail/Wholesale","Retail",2017-01-19,"Thursday",19,"January",2017,3,19,24.59,24.6,24.32,24.4,2640000,-0.19,"down",0.28,0.0115132,24.3
"17915","WOW","Retail/Wholesale","Retail",2017-01-20,"Friday",20,"January",2017,3,20,24.28,24.45,24.265,24.38,4510000,0.1,"up",0.185,0.00762415,24.4
"17916","WOW","Retail/Wholesale","Retail",2017-01-23,"Monday",23,"January",2017,4,23,24.68,24.75,24.44,24.6,4840000,-0.08,"down",0.31,0.0126841,24.38
"17917","WOW","Retail/Wholesale","Retail",2017-01-24,"Tuesday",24,"January",2017,4,24,24.72,24.83,24.53,24.8,4270000,0.08,"up",0.3,0.0122299,24.6
"17918","WOW","Retail/Wholesale","Retail",2017-01-25,"Wednesday",25,"January",2017,4,25,24.9,24.97,24.63,24.65,3820000,-0.25,"down",0.34,0.0138043,24.8
"17919","WOW","Retail/Wholesale","Retail",2017-01-27,"Friday",27,"January",2017,4,27,24.95,25.3,24.85,25.16,4500000,0.21,"up",0.45,0.0181087,24.65
"17920","WOW","Retail/Wholesale","Retail",2017-01-30,"Monday",30,"January",2017,5,30,24.97,25.08,24.88,24.91,2810000,-0.06,"down",0.2,0.00803859,25.16
"17921","WOW","Retail/Wholesale","Retail",2017-01-31,"Tuesday",31,"January",2017,5,31,24.85,24.85,24.48,24.6,4210000,-0.25,"down",0.37,0.0151144,24.91
"17922","WOW","Retail/Wholesale","Retail",2017-02-01,"Wednesday",1,"February",2017,5,32,25,25.15,24.93,25.09,8440000,0.09,"up",0.22,0.00882471,24.6
