"","Code","Sector","SubSector","Date","Weekday","DayofMonth","Month","Year","WeekofYear","DayofYear","Open","High","Low","Close","Volume","Close.Open","Change","High.Low","HMLOL","PriorClose"
"952","AAC","Agriculture","Farming",2017-01-09,"Monday",9,"January",2017,2,9,1.71,1.725,1.69,1.7,592412,-0.01,"down",0.035,0.0207101,1.7
"953","AAC","Agriculture","Farming",2017-01-10,"Tuesday",10,"January",2017,2,10,1.69,1.715,1.675,1.675,638297,-0.015,"down",0.04,0.0238806,1.7
"954","AAC","Agriculture","Farming",2017-01-11,"Wednesday",11,"January",2017,2,11,1.68,1.695,1.675,1.69,1550000,0.01,"up",0.02,0.0119403,1.675
"955","AAC","Agriculture","Farming",2017-01-12,"Thursday",12,"January",2017,2,12,1.69,1.695,1.655,1.66,743111,-0.03,"down",0.04,0.0241692,1.69
"956","AAC","Agriculture","Farming",2017-01-13,"Friday",13,"January",2017,2,13,1.66,1.665,1.6,1.605,1050000,-0.055,"down",0.065,0.040625,1.66
"957","AAC","Agriculture","Farming",2017-01-16,"Monday",16,"January",2017,3,16,1.62,1.64,1.61,1.63,888820,0.01,"up",0.03,0.0186335,1.605
"958","AAC","Agriculture","Farming",2017-01-17,"Tuesday",17,"January",2017,3,17,1.63,1.63,1.6,1.6,648862,-0.03,"down",0.03,0.01875,1.63
"959","AAC","Agriculture","Farming",2017-01-18,"Wednesday",18,"January",2017,3,18,1.605,1.61,1.57,1.575,1370000,-0.03,"down",0.04,0.0254777,1.6
"960","AAC","Agriculture","Farming",2017-01-19,"Thursday",19,"January",2017,3,19,1.58,1.595,1.557,1.565,2470000,-0.015,"down",0.038,0.0244059,1.575
"961","AAC","Agriculture","Farming",2017-01-20,"Friday",20,"January",2017,3,20,1.56,1.595,1.56,1.585,1140000,0.025,"up",0.035,0.0224359,1.565
"962","AAC","Agriculture","Farming",2017-01-23,"Monday",23,"January",2017,4,23,1.595,1.605,1.565,1.595,882846,0,"up",0.04,0.0255591,1.585
"963","AAC","Agriculture","Farming",2017-01-24,"Tuesday",24,"January",2017,4,24,1.595,1.63,1.572,1.59,1110000,-0.005,"down",0.058,0.0368957,1.595
"964","AAC","Agriculture","Farming",2017-01-25,"Wednesday",25,"January",2017,4,25,1.61,1.61,1.58,1.6,796396,-0.01,"down",0.03,0.0189873,1.59
"965","AAC","Agriculture","Farming",2017-01-27,"Friday",27,"January",2017,4,27,1.6,1.605,1.58,1.595,493339,-0.005,"down",0.025,0.0158228,1.6
"966","AAC","Agriculture","Farming",2017-01-30,"Monday",30,"January",2017,5,30,1.585,1.59,1.525,1.53,1490000,-0.055,"down",0.065,0.042623,1.595
"967","AAC","Agriculture","Farming",2017-01-31,"Tuesday",31,"January",2017,5,31,1.52,1.52,1.45,1.465,2089999,-0.055,"down",0.07,0.0482759,1.53
"968","AAC","Agriculture","Farming",2017-02-01,"Wednesday",1,"February",2017,5,32,1.485,1.5,1.46,1.47,1280000,-0.015,"down",0.04,0.0273973,1.465
"969","AAC","Agriculture","Farming",2017-02-02,"Thursday",2,"February",2017,5,33,1.475,1.505,1.475,1.49,1280000,0.015,"up",0.03,0.020339,1.47
"970","AAC","Agriculture","Farming",2017-02-03,"Friday",3,"February",2017,5,34,1.495,1.515,1.485,1.49,789786,-0.005,"down",0.03,0.020202,1.49
