"","Code","Sector","SubSector","Date","Weekday","DayofMonth","Month","Year","WeekofYear","DayofYear","Open","High","Low","Close","Volume","Close.Open","Change","High.Low","HMLOL","PriorClose"
"318","8EC","Financial_Services","Investing/Securities_Companies",2017-01-09,"Monday",9,"January",2017,2,9,1,1.01,1,1.01,40000,0.01,"up",0.01,0.01,1.01
"319","8EC","Financial_Services","Investing/Securities_Companies",2017-01-10,"Tuesday",10,"January",2017,2,10,1,1,1,1,11403,0,"up",0,0,1.01
"320","8EC","Financial_Services","Investing/Securities_Companies",2017-01-11,"Wednesday",11,"January",2017,2,11,1,1,1,1,0,0,"up",0,0,1
"321","8EC","Financial_Services","Investing/Securities_Companies",2017-01-12,"Thursday",12,"January",2017,2,12,1,1,0.995,1,41865,0,"up",0.005,0.00502513,1
"322","8EC","Financial_Services","Investing/Securities_Companies",2017-01-13,"Friday",13,"January",2017,2,13,0.99,0.99,0.99,0.99,36703,0,"up",0,0,1
"323","8EC","Financial_Services","Investing/Securities_Companies",2017-01-16,"Monday",16,"January",2017,3,16,0.99,1.01,0.99,0.99,48860,0,"up",0.02,0.020202,0.99
"324","8EC","Financial_Services","Investing/Securities_Companies",2017-01-17,"Tuesday",17,"January",2017,3,17,0.995,1,0.995,1,30500,0.005,"up",0.005,0.00502513,0.99
"325","8EC","Financial_Services","Investing/Securities_Companies",2017-01-18,"Wednesday",18,"January",2017,3,18,1,1,1,1,111681,0,"up",0,0,1
"326","8EC","Financial_Services","Investing/Securities_Companies",2017-01-19,"Thursday",19,"January",2017,3,19,0.955,0.955,0.955,0.955,0,0,"up",0,0,1
"327","8EC","Financial_Services","Investing/Securities_Companies",2017-01-20,"Friday",20,"January",2017,3,20,0.98,0.98,0.98,0.98,0,0,"up",0,0,0.955
"328","8EC","Financial_Services","Investing/Securities_Companies",2017-01-23,"Monday",23,"January",2017,4,23,0.98,0.98,0.98,0.98,0,0,"up",0,0,0.98
"329","8EC","Financial_Services","Investing/Securities_Companies",2017-01-24,"Tuesday",24,"January",2017,4,24,0.99,0.99,0.99,0.99,74265,0,"up",0,0,0.98
"330","8EC","Financial_Services","Investing/Securities_Companies",2017-01-25,"Wednesday",25,"January",2017,4,25,0.99,1,0.99,1,29004,0.01,"up",0.01,0.010101,0.99
"331","8EC","Financial_Services","Investing/Securities_Companies",2017-01-27,"Friday",27,"January",2017,4,27,1,1,1,1,6919,0,"up",0,0,1
"332","8EC","Financial_Services","Investing/Securities_Companies",2017-01-30,"Monday",30,"January",2017,5,30,1,1,1,1,101021,0,"up",0,0,1
"333","8EC","Financial_Services","Investing/Securities_Companies",2017-01-31,"Tuesday",31,"January",2017,5,31,1,1,0.99,1,50919,0,"up",0.01,0.010101,1
"334","8EC","Financial_Services","Investing/Securities_Companies",2017-02-01,"Wednesday",1,"February",2017,5,32,0.985,0.99,0.98,0.99,44909,0.005,"up",0.01,0.0102041,1
"335","8EC","Financial_Services","Investing/Securities_Companies",2017-02-02,"Thursday",2,"February",2017,5,33,0.99,1,0.99,1,199981,0.01,"up",0.01,0.010101,0.99
"336","8EC","Financial_Services","Investing/Securities_Companies",2017-02-03,"Friday",3,"February",2017,5,34,1,1,1,1,95495,0,"up",0,0,1
"337","8EC","Financial_Services","Investing/Securities_Companies",2017-02-06,"Monday",6,"February",2017,6,37,1,1.005,1,1.005,14327,0.005,"up",0.005,0.005,1
"338","8EC","Financial_Services","Investing/Securities_Companies",2017-02-07,"Tuesday",7,"February",2017,6,38,1.005,1.005,1.005,1.005,21400,0,"up",0,0,1.005
"339","8EC","Financial_Services","Investing/Securities_Companies",2017-02-08,"Wednesday",8,"February",2017,6,39,1.005,1.005,1.005,1.005,10200,0,"up",0,0,1.005
"340","8EC","Financial_Services","Investing/Securities_Companies",2017-02-09,"Thursday",9,"February",2017,6,40,1.005,1.015,1.005,1.015,90000,0.01,"up",0.01,0.00995025,1.005
"341","8EC","Financial_Services","Investing/Securities_Companies",2017-02-10,"Friday",10,"February",2017,6,41,1.01,1.01,1.005,1.01,508365,0,"up",0.005,0.00497512,1.015
"342","8EC","Financial_Services","Investing/Securities_Companies",2017-02-13,"Monday",13,"February",2017,7,44,1.005,1.01,1.005,1.01,59694,0.005,"up",0.005,0.00497512,1.01
"343","8EC","Financial_Services","Investing/Securities_Companies",2017-02-14,"Tuesday",14,"February",2017,7,45,1.01,1.015,1.01,1.01,230000,0,"up",0.005,0.0049505,1.01
"344","8EC","Financial_Services","Investing/Securities_Companies",2017-02-15,"Wednesday",15,"February",2017,7,46,1.02,1.02,1.02,1.02,100660,0,"up",0,0,1.01
"345","8EC","Financial_Services","Investing/Securities_Companies",2017-02-16,"Thursday",16,"February",2017,7,47,1.025,1.025,1.025,1.025,7800,0,"up",0,0,1.02
"346","8EC","Financial_Services","Investing/Securities_Companies",2017-02-17,"Friday",17,"February",2017,7,48,1.025,1.03,1.025,1.03,45292,0.005,"up",0.005,0.00487805,1.025
"347","8EC","Financial_Services","Investing/Securities_Companies",2017-02-20,"Monday",20,"February",2017,8,51,1.02,1.04,1.015,1.015,3070000,-0.005,"down",0.025,0.0246305,1.03
"348","8EC","Financial_Services","Investing/Securities_Companies",2017-02-21,"Tuesday",21,"February",2017,8,52,1.01,1.01,1.01,1.01,2000,0,"up",0,0,1.015
"349","8EC","Financial_Services","Investing/Securities_Companies",2017-02-22,"Wednesday",22,"February",2017,8,53,1.015,1.02,1.015,1.02,130995,0.005,"up",0.005,0.00492611,1.01
"350","8EC","Financial_Services","Investing/Securities_Companies",2017-02-23,"Thursday",23,"February",2017,8,54,1.02,1.02,1.02,1.02,10535,0,"up",0,0,1.02
"351","8EC","Financial_Services","Investing/Securities_Companies",2017-02-24,"Friday",24,"February",2017,8,55,1.02,1.02,1.015,1.02,53000,0,"up",0.005,0.00492611,1.02
"352","8EC","Financial_Services","Investing/Securities_Companies",2017-02-27,"Monday",27,"February",2017,9,58,1.02,1.02,1.01,1.01,25191,-0.01,"down",0.01,0.00990099,1.02
"353","8EC","Financial_Services","Investing/Securities_Companies",2017-02-28,"Tuesday",28,"February",2017,9,59,1.01,1.01,1.01,1.01,80000,0,"up",0,0,1.01
"354","8EC","Financial_Services","Investing/Securities_Companies",2017-03-01,"Wednesday",1,"March",2017,9,60,1.005,1.005,1.005,1.005,5030,0,"up",0,0,1.01
