"","Code","Sector","SubSector","Date","Weekday","DayofMonth","Month","Year","WeekofYear","DayofYear","Open","High","Low","Close","Volume","Close.Open","Change","High.Low","HMLOL","PriorClose"
"1903","ADH","Retail/Wholesale","Retail",2017-01-09,"Monday",9,"January",2017,2,9,1.55,1.57,1.54,1.55,74119,0,"up",0.03,0.0194805,1.55
"1904","ADH","Retail/Wholesale","Retail",2017-01-10,"Tuesday",10,"January",2017,2,10,1.56,1.56,1.54,1.55,123845,-0.01,"down",0.02,0.012987,1.55
"1905","ADH","Retail/Wholesale","Retail",2017-01-11,"Wednesday",11,"January",2017,2,11,1.54,1.55,1.53,1.53,2480000,-0.01,"down",0.02,0.0130719,1.55
"1906","ADH","Retail/Wholesale","Retail",2017-01-12,"Thursday",12,"January",2017,2,12,1.53,1.535,1.52,1.525,493707,-0.005,"down",0.015,0.00986842,1.53
"1907","ADH","Retail/Wholesale","Retail",2017-01-13,"Friday",13,"January",2017,2,13,1.545,1.565,1.52,1.525,702936,-0.02,"down",0.045,0.0296053,1.525
"1908","ADH","Retail/Wholesale","Retail",2017-01-16,"Monday",16,"January",2017,3,16,1.53,1.54,1.485,1.5,592653,-0.03,"down",0.055,0.037037,1.525
"1909","ADH","Retail/Wholesale","Retail",2017-01-17,"Tuesday",17,"January",2017,3,17,1.5,1.53,1.5,1.525,114371,0.025,"up",0.03,0.02,1.5
"1910","ADH","Retail/Wholesale","Retail",2017-01-18,"Wednesday",18,"January",2017,3,18,1.525,1.525,1.495,1.51,414808,-0.015,"down",0.03,0.0200669,1.525
"1911","ADH","Retail/Wholesale","Retail",2017-01-19,"Thursday",19,"January",2017,3,19,1.525,1.525,1.49,1.5,137729,-0.025,"down",0.035,0.0234899,1.51
"1912","ADH","Retail/Wholesale","Retail",2017-01-20,"Friday",20,"January",2017,3,20,1.5,1.52,1.47,1.5,1590000,0,"up",0.05,0.0340136,1.5
"1913","ADH","Retail/Wholesale","Retail",2017-01-23,"Monday",23,"January",2017,4,23,1.48,1.49,1.475,1.485,72666,0.005,"up",0.015,0.0101695,1.5
"1914","ADH","Retail/Wholesale","Retail",2017-01-24,"Tuesday",24,"January",2017,4,24,1.485,1.495,1.477,1.485,72659,0,"up",0.018,0.0121869,1.485
"1915","ADH","Retail/Wholesale","Retail",2017-01-25,"Wednesday",25,"January",2017,4,25,1.485,1.49,1.477,1.48,54557,-0.005,"down",0.013,0.00880162,1.485
"1916","ADH","Retail/Wholesale","Retail",2017-01-27,"Friday",27,"January",2017,4,27,1.5,1.5,1.475,1.48,66141,-0.02,"down",0.025,0.0169492,1.48
"1917","ADH","Retail/Wholesale","Retail",2017-01-30,"Monday",30,"January",2017,5,30,1.485,1.487,1.475,1.475,103123,-0.01,"down",0.012,0.00813559,1.48
"1918","ADH","Retail/Wholesale","Retail",2017-01-31,"Tuesday",31,"January",2017,5,31,1.475,1.475,1.45,1.455,228301,-0.02,"down",0.025,0.0172414,1.475
"1919","ADH","Retail/Wholesale","Retail",2017-02-01,"Wednesday",1,"February",2017,5,32,1.45,1.45,1.325,1.425,549438,-0.025,"down",0.125,0.0943396,1.455
"1920","ADH","Retail/Wholesale","Retail",2017-02-02,"Thursday",2,"February",2017,5,33,1.435,1.435,1.34,1.35,1340000,-0.085,"down",0.095,0.0708955,1.425
"1921","ADH","Retail/Wholesale","Retail",2017-02-03,"Friday",3,"February",2017,5,34,1.35,1.37,1.225,1.33,3030000,-0.02,"down",0.145,0.118367,1.35
"1922","ADH","Retail/Wholesale","Retail",2017-02-06,"Monday",6,"February",2017,6,37,1.33,1.365,1.33,1.34,905297,0.01,"up",0.035,0.0263158,1.33
"1923","ADH","Retail/Wholesale","Retail",2017-02-07,"Tuesday",7,"February",2017,6,38,1.355,1.355,1.325,1.325,93852,-0.03,"down",0.03,0.0226415,1.34
"1924","ADH","Retail/Wholesale","Retail",2017-02-08,"Wednesday",8,"February",2017,6,39,1.33,1.365,1.325,1.33,119714,0,"up",0.04,0.0301887,1.325
"1925","ADH","Retail/Wholesale","Retail",2017-02-09,"Thursday",9,"February",2017,6,40,1.345,1.35,1.325,1.335,128289,-0.01,"down",0.025,0.0188679,1.33
"1926","ADH","Retail/Wholesale","Retail",2017-02-10,"Friday",10,"February",2017,6,41,1.34,1.355,1.325,1.33,242110,-0.01,"down",0.03,0.0226415,1.335
"1927","ADH","Retail/Wholesale","Retail",2017-02-13,"Monday",13,"February",2017,7,44,1.345,1.345,1.315,1.32,100386,-0.025,"down",0.03,0.0228137,1.33
"1928","ADH","Retail/Wholesale","Retail",2017-02-14,"Tuesday",14,"February",2017,7,45,1.315,1.32,1.275,1.295,243539,-0.02,"down",0.045,0.0352941,1.32
"1929","ADH","Retail/Wholesale","Retail",2017-02-15,"Wednesday",15,"February",2017,7,46,1.3,1.32,1.285,1.3,230284,0,"up",0.035,0.0272374,1.295
"1930","ADH","Retail/Wholesale","Retail",2017-02-16,"Thursday",16,"February",2017,7,47,1.3,1.305,1.285,1.29,144354,-0.01,"down",0.02,0.0155642,1.3
"1931","ADH","Retail/Wholesale","Retail",2017-02-17,"Friday",17,"February",2017,7,48,1.29,1.29,1.225,1.23,378310,-0.06,"down",0.065,0.0530612,1.29
"1932","ADH","Retail/Wholesale","Retail",2017-02-20,"Monday",20,"February",2017,8,51,1.235,1.245,1.175,1.235,3830000,0,"up",0.07,0.0595745,1.23
"1933","ADH","Retail/Wholesale","Retail",2017-02-21,"Tuesday",21,"February",2017,8,52,1.25,1.36,1.25,1.35,2780000,0.1,"up",0.11,0.088,1.235
"1934","ADH","Retail/Wholesale","Retail",2017-02-22,"Wednesday",22,"February",2017,8,53,1.35,1.405,1.342,1.365,382033,0.015,"up",0.063,0.0469449,1.35
"1935","ADH","Retail/Wholesale","Retail",2017-02-23,"Thursday",23,"February",2017,8,54,1.39,1.4,1.355,1.37,333863,-0.02,"down",0.045,0.0332103,1.365
"1936","ADH","Retail/Wholesale","Retail",2017-02-24,"Friday",24,"February",2017,8,55,1.38,1.4,1.35,1.4,163859,0.02,"up",0.05,0.037037,1.37
"1937","ADH","Retail/Wholesale","Retail",2017-02-27,"Monday",27,"February",2017,9,58,1.26,1.26,1.177,1.2,3390000,-0.06,"down",0.083,0.0705183,1.4
"1938","ADH","Retail/Wholesale","Retail",2017-02-28,"Tuesday",28,"February",2017,9,59,1.2,1.2,1.115,1.18,2300000,-0.02,"down",0.085,0.0762332,1.2
"1939","ADH","Retail/Wholesale","Retail",2017-03-01,"Wednesday",1,"March",2017,9,60,1.2,1.2,1.147,1.175,618429,-0.025,"down",0.053,0.0462075,1.18
"1940","ADH","Retail/Wholesale","Retail",2017-03-02,"Thursday",2,"March",2017,9,61,1.17,1.2,1.14,1.15,447185,-0.02,"down",0.06,0.0526316,1.175
"1941","ADH","Retail/Wholesale","Retail",2017-03-03,"Friday",3,"March",2017,9,62,1.15,1.18,1.12,1.12,155209,-0.03,"down",0.06,0.0535714,1.15
"1942","ADH","Retail/Wholesale","Retail",2017-03-06,"Monday",6,"March",2017,10,65,1.175,1.19,1.15,1.155,283045,-0.02,"down",0.04,0.0347826,1.12
"1943","ADH","Retail/Wholesale","Retail",2017-03-07,"Tuesday",7,"March",2017,10,66,1.18,1.195,1.18,1.18,129859,0,"up",0.015,0.0127119,1.155
"1944","ADH","Retail/Wholesale","Retail",2017-03-08,"Wednesday",8,"March",2017,10,67,1.19,1.2,1.16,1.16,302179,-0.03,"down",0.04,0.0344828,1.18
"1945","ADH","Retail/Wholesale","Retail",2017-03-09,"Thursday",9,"March",2017,10,68,1.165,1.185,1.145,1.15,74616,-0.015,"down",0.04,0.0349345,1.16
"1946","ADH","Retail/Wholesale","Retail",2017-03-10,"Friday",10,"March",2017,10,69,1.15,1.155,1.1,1.11,286395,-0.04,"down",0.055,0.05,1.15
"1947","ADH","Retail/Wholesale","Retail",2017-03-13,"Monday",13,"March",2017,11,72,1.12,1.165,1.115,1.125,109928,0.005,"up",0.05,0.044843,1.11
"1948","ADH","Retail/Wholesale","Retail",2017-03-14,"Tuesday",14,"March",2017,11,73,1.145,1.15,1.095,1.1,192270,-0.045,"down",0.055,0.0502283,1.125
"1949","ADH","Retail/Wholesale","Retail",2017-03-15,"Wednesday",15,"March",2017,11,74,1.13,1.13,1.092,1.125,675378,-0.005,"down",0.038,0.0347985,1.1
"1950","ADH","Retail/Wholesale","Retail",2017-03-16,"Thursday",16,"March",2017,11,75,1.145,1.145,1.1,1.11,208607,-0.035,"down",0.045,0.0409091,1.125
"1951","ADH","Retail/Wholesale","Retail",2017-03-17,"Friday",17,"March",2017,11,76,1.11,1.135,1.11,1.13,864969,0.02,"up",0.025,0.0225225,1.11
"1952","ADH","Retail/Wholesale","Retail",2017-03-20,"Monday",20,"March",2017,12,79,1.135,1.155,1.125,1.135,80442,0,"up",0.03,0.0266667,1.13
"1953","ADH","Retail/Wholesale","Retail",2017-03-21,"Tuesday",21,"March",2017,12,80,1.145,1.17,1.135,1.145,224131,0,"up",0.035,0.030837,1.135
"1954","ADH","Retail/Wholesale","Retail",2017-03-22,"Wednesday",22,"March",2017,12,81,1.14,1.16,1.1,1.105,624699,-0.035,"down",0.06,0.0545455,1.145
"1955","ADH","Retail/Wholesale","Retail",2017-03-23,"Thursday",23,"March",2017,12,82,1.11,1.12,1.095,1.095,80174,-0.015,"down",0.025,0.0228311,1.105
"1956","ADH","Retail/Wholesale","Retail",2017-03-24,"Friday",24,"March",2017,12,83,1.13,1.13,1.09,1.105,33093,-0.025,"down",0.04,0.0366972,1.095
"1957","ADH","Retail/Wholesale","Retail",2017-03-27,"Monday",27,"March",2017,13,86,1.105,1.125,1.09,1.125,107867,0.02,"up",0.035,0.0321101,1.105
"1958","ADH","Retail/Wholesale","Retail",2017-03-28,"Tuesday",28,"March",2017,13,87,1.125,1.13,1.1,1.1,75341,-0.025,"down",0.03,0.0272727,1.125
"1959","ADH","Retail/Wholesale","Retail",2017-03-29,"Wednesday",29,"March",2017,13,88,1.1,1.155,1.08,1.105,325343,0.005,"up",0.075,0.0694444,1.1
"1960","ADH","Retail/Wholesale","Retail",2017-03-30,"Thursday",30,"March",2017,13,89,1.11,1.145,1.105,1.145,554029,0.035,"up",0.04,0.0361991,1.105
"1961","ADH","Retail/Wholesale","Retail",2017-03-31,"Friday",31,"March",2017,13,90,1.125,1.135,1.12,1.12,19235,-0.005,"down",0.015,0.0133929,1.145
"1962","ADH","Retail/Wholesale","Retail",2017-04-03,"Monday",3,"April",2017,14,93,1.14,1.145,1.12,1.14,82435,0,"up",0.025,0.0223214,1.12
"1963","ADH","Retail/Wholesale","Retail",2017-04-04,"Tuesday",4,"April",2017,14,94,1.14,1.14,1.115,1.13,99969,-0.01,"down",0.025,0.0224215,1.14
"1964","ADH","Retail/Wholesale","Retail",2017-04-05,"Wednesday",5,"April",2017,14,95,1.13,1.13,1.12,1.125,17875,-0.005,"down",0.01,0.00892857,1.13
"1965","ADH","Retail/Wholesale","Retail",2017-04-06,"Thursday",6,"April",2017,14,96,1.125,1.17,1.125,1.17,1110000,0.045,"up",0.045,0.04,1.125
"1966","ADH","Retail/Wholesale","Retail",2017-04-07,"Friday",7,"April",2017,14,97,1.145,1.15,1.13,1.135,55697,-0.01,"down",0.02,0.0176991,1.17
"1967","ADH","Retail/Wholesale","Retail",2017-04-10,"Monday",10,"April",2017,15,100,1.135,1.165,1.13,1.16,113293,0.025,"up",0.035,0.0309735,1.135
"1968","ADH","Retail/Wholesale","Retail",2017-04-11,"Tuesday",11,"April",2017,15,101,1.12,1.13,1.02,1.08,271452,-0.04,"down",0.11,0.107843,1.16
"1969","ADH","Retail/Wholesale","Retail",2017-04-12,"Wednesday",12,"April",2017,15,102,1.09,1.09,1.07,1.07,105331,-0.02,"down",0.02,0.0186916,1.08
"1970","ADH","Retail/Wholesale","Retail",2017-04-13,"Thursday",13,"April",2017,15,103,1.07,1.09,1.025,1.04,126088,-0.03,"down",0.065,0.0634146,1.07
"1971","ADH","Retail/Wholesale","Retail",2017-04-18,"Tuesday",18,"April",2017,16,108,1.04,1.05,1.005,1.01,124963,-0.03,"down",0.045,0.0447761,1.04
"1972","ADH","Retail/Wholesale","Retail",2017-04-19,"Wednesday",19,"April",2017,16,109,1.035,1.035,1.005,1.01,39084,-0.025,"down",0.03,0.0298507,1.01
"1973","ADH","Retail/Wholesale","Retail",2017-04-20,"Thursday",20,"April",2017,16,110,1.01,1.015,0.95,0.955,167504,-0.055,"down",0.065,0.0684211,1.01
"1974","ADH","Retail/Wholesale","Retail",2017-04-21,"Friday",21,"April",2017,16,111,0.97,0.975,0.915,0.925,321797,-0.045,"down",0.06,0.0655738,0.955
"1975","ADH","Retail/Wholesale","Retail",2017-04-24,"Monday",24,"April",2017,17,114,0.93,0.945,0.89,0.915,187094,-0.015,"down",0.055,0.0617978,0.925
"1976","ADH","Retail/Wholesale","Retail",2017-04-26,"Wednesday",26,"April",2017,17,116,0.95,0.95,0.88,0.9,99759,-0.05,"down",0.07,0.0795455,0.915
"1977","ADH","Retail/Wholesale","Retail",2017-04-27,"Thursday",27,"April",2017,17,117,0.9,0.92,0.88,0.885,178396,-0.015,"down",0.04,0.0454545,0.9
"1978","ADH","Retail/Wholesale","Retail",2017-04-28,"Friday",28,"April",2017,17,118,0.885,0.885,0.835,0.855,365331,-0.03,"down",0.05,0.0598802,0.885
"1979","ADH","Retail/Wholesale","Retail",2017-05-01,"Monday",1,"May",2017,18,121,0.86,0.86,0.83,0.83,137935,-0.03,"down",0.03,0.0361446,0.855
"1980","ADH","Retail/Wholesale","Retail",2017-05-02,"Tuesday",2,"May",2017,18,122,0.825,0.83,0.785,0.8,452760,-0.025,"down",0.045,0.0573248,0.83
"1981","ADH","Retail/Wholesale","Retail",2017-05-03,"Wednesday",3,"May",2017,18,123,0.8,0.805,0.78,0.78,133879,-0.02,"down",0.025,0.0320513,0.8
"1982","ADH","Retail/Wholesale","Retail",2017-05-04,"Thursday",4,"May",2017,18,124,0.8,0.8,0.77,0.8,143664,0,"up",0.03,0.038961,0.78
"1983","ADH","Retail/Wholesale","Retail",2017-05-05,"Friday",5,"May",2017,18,125,0.8,0.82,0.78,0.82,51154,0.02,"up",0.04,0.0512821,0.8
"1984","ADH","Retail/Wholesale","Retail",2017-05-08,"Monday",8,"May",2017,19,128,0.805,0.81,0.77,0.77,113352,-0.035,"down",0.04,0.0519481,0.82
