"Shield","Weight","Stern","Hb","TandT","Adult"
249.4,651,60.24,65.31,143,1
266.5,705,66.66,69.65,152,1
192.9,540,62.67,61.97,134,1
424.5,535,68.7,62.62,140,1
397.4,620,63.2,64.46,146,1
163.2,544,59.96,65.41,139,1
259.2,612,66.58,66.38,139,1
243,630,63.87,64.58,144,1
193.3,765,66.82,67.87,152,1
257,602,62.92,65.59,146,1
293,619,64.88,66.4,148,1
247.3,664,63.34,68.7,149,1
370.7,604,63.5,66.19,147,1
347.7,716,68.95,72.2,150,1
451.3,695,67.15,68.5,154,1
311.1,702,64.44,67.7,151,1
529.3,774,68.71,71.1,149,1
256.5,620,57.6,63.14,146,1
308.3,580,64,64.6,144,1
328.6,766,64.53,67.37,156,1
213.4,556,62.64,64.51,137,1
323.4,765,65.9,67.73,146,1
275,775,69.33,69.52,156,1
348.2,780,66.1,71.59,155,1
377.5,565,63.08,65.4,141,1
405.4,586,63.94,65.04,135,1
85.9,452,58.28,60.85,134,0
147.9,558,60.65,62.85,130,0
131.5,734,67.26,67.45,149,0
118.8,560,61.23,64.08,140,0
136.5,666,66.96,68.61,146,0
142.7,718,67.51,68.21,151,0
139.4,728,69.64,70.06,154,0
115.8,631,62.64,65.74,144,0
208.4,742,63.37,68.05,153,0
167.4,670,64.46,68.65,151,0
105,528,59.75,62.22,144,0
117,545,59.1,67.1,150,0
140.1,700,62.85,70.4,158,0
129.3,786,64.82,69.87,150,0
98.6,595,61.5,66.91,143,0
107.8,578,65.89,67.13,142,0
144.3,608,64.01,66.04,144,0
