Year,Value
188001,-0.0011
188002,-0.1252
188003,-0.1372
188004,-0.0505
188005,-0.0787
188006,-0.174
188007,-0.1546
188008,-0.0811
188009,-0.0875
188010,-0.1839
188011,-0.2723
188012,-0.0834
188101,-0.0246
188102,-0.0345
188103,0.0242
188104,0.0704
188105,0.0239
188106,-0.0939
188107,-0.0411
188108,-0.0602
188109,-0.1843
188110,-0.2228
188111,-0.2233
188112,-0.0486
188201,0.0877
188202,0.0328
188203,0.0692
188204,-0.1283
188205,-0.1495
188206,-0.1418
188207,-0.0685
188208,-0.0084
188209,0.0032
188210,-0.2109
188211,-0.131
188212,-0.1755
188301,-0.27
188302,-0.2968
188303,-0.1414
188304,-0.1802
188305,-0.1453
188306,-0.0096
188307,-0.0863
188308,-0.0549
188309,-0.1512
188310,-0.1677
188311,-0.1749
188312,-0.0829
188401,-0.1915
188402,-0.1524
188403,-0.2142
188404,-0.1893
188405,-0.1365
188406,-0.2027
188407,-0.3065
188408,-0.2772
188409,-0.2325
188410,-0.1773
188411,-0.2775
188412,-0.1548
188501,-0.4343
188502,-0.2655
188503,-0.1573
188504,-0.2638
188505,-0.2886
188506,-0.3146
188507,-0.2465
188508,-0.2514
188509,-0.2065
188510,-0.1359
188511,-0.1355
188512,0.0396
188601,-0.1201
188602,-0.2889
188603,-0.2921
188604,-0.1773
188605,-0.1651
188606,-0.2536
188607,-0.1712
188608,-0.2233
188609,-0.2023
188610,-0.2347
188611,-0.2064
188612,-0.1703
188701,-0.3905
188702,-0.3851
188703,-0.1714
188704,-0.2009
188705,-0.2439
188706,-0.2235
188707,-0.2768
188708,-0.3231
188709,-0.1908
188710,-0.3039
188711,-0.1642
188712,-0.2035
188801,-0.3913
188802,-0.3318
188803,-0.303
188804,-0.1798
188805,-0.1619
188806,-0.0993
188807,-0.1187
188808,-0.1653
188809,-0.0722
188810,0.0113
188811,-0.0495
188812,0.0343
188901,-0.1001
188902,0.0078
188903,0.1142
188904,0.0449
188905,-0.0359
188906,-0.0788
188907,-0.166
188908,-0.1445
