Year,Av_Value
1880,-0.119125
1881,-0.0679
1882,-0.068416667
1883,-0.146766667
1884,-0.209366667
1885,-0.221691667
1886,-0.208775
1887,-0.256466667
1888,-0.152266667
1889,-0.104816667
1890,-0.325708333
1891,-0.257583333
1892,-0.3106
1893,-0.322533333
1894,-0.281391667
1895,-0.22895
1896,-0.098725
1897,-0.126283333
1898,-0.259633333
1899,-0.123083333
1900,-0.070741667
1901,-0.144933333
1902,-0.253016667
1903,-0.344733333
1904,-0.426916667
1905,-0.300883333
1906,-0.226791667
1907,-0.377983333
1908,-0.44725
1909,-0.432725
1910,-0.388008333
1911,-0.443075
1912,-0.336766667
1913,-0.325141667
1914,-0.1482
1915,-0.077466667
1916,-0.299891667
1917,-0.320658333
1918,-0.215758333
1919,-0.213308333
1920,-0.216966667
1921,-0.154575
1922,-0.237533333
1923,-0.221708333
1924,-0.2531
1925,-0.151683333
1926,-0.069183333
1927,-0.156908333
1928,-0.178908333
1929,-0.302141667
1930,-0.105183333
1931,-0.074125
1932,-0.1242
1933,-0.249616667
1934,-0.108066667
1935,-0.143291667
1936,-0.118433333
1937,-0.021166667
1938,-0.03325
1939,-0.0179
1940,0.091258333
1941,0.192783333
1942,0.151758333
1943,0.157375
1944,0.295191667
1945,0.172291667
1946,-0.0031
1947,-0.047183333
1948,-0.048916667
1949,-0.053516667
1950,-0.157775
1951,-0.008141667
1952,0.029941667
1953,0.09955
1954,-0.1116
1955,-0.130225
1956,-0.193741667
1957,0.054791667
1958,0.115316667
1959,0.064191667
1960,0.02505
1961,0.082325
1962,0.093616667
1963,0.111716667
1964,-0.144408333
1965,-0.073066667
1966,-0.0175
1967,-0.008033333
1968,-0.024758333
1969,0.098125
1970,0.043233333
1971,-0.072375
1972,0.031525
1973,0.168991667
1974,-0.067258333
1975,0.008758333
1976,-0.073216667
1977,0.203108333
1978,0.117591667
1979,0.232258333
1980,0.2688
1981,0.304933333
1982,0.18635
1983,0.345825
1984,0.154116667
1985,0.139158333
1986,0.235008333
1987,0.374233333
1988,0.380108333
1989,0.3013
1990,0.436816667
1991,0.409983333
1992,0.261158333
1993,0.2888
1994,0.344941667
1995,0.461258333
1996,0.326358333
1997,0.522458333
1998,0.638016667
1999,0.447141667
2000,0.428733333
2001,0.549733333
2002,0.604958333
2003,0.616675
2004,0.583266667
2005,0.663033333
2006,0.61835
2007,0.616208333
2008,0.547783333
2009,0.641391667
2010,0.705525
2011,0.582233333
2012,0.628291667
2013,0.674666667
2014,0.747583333
2015,0.906541667
2016,0.946533333
2017,0.8817
