,body,brain
Arctic fox,3.385,44.5
Owl monkey,0.48,15.499
Mountain beaver,1.35,8.1
Cow,464.983,423.012
Grey wolf,36.328,119.498
Goat,27.66,114.996
Roe deer,14.831,98.199
Guinea pig,1.04,5.5
Verbet,4.19,57.998
Chinchilla,0.425,6.4
Ground squirrel,0.101,4
Arctic ground squirrel,0.92,5.7
African giant pouched rat,1,6.6
Lesser short-tailed shrew,0.005,0.14
Star-nosed mole,0.06,1
Nine-banded armadillo,3.5,10.8
Tree hyrax,2,12.3
North American opossum,1.7,6.3
Asian elephant,2547.07,4603.17
Big brown bat,0.023,0.3
Donkey,187.092,419.012
Horse,521.026,654.977
European hedgehog,0.785,3.5
Patas monkey,10,114.996
Cat,3.3,25.6
Galago,0.2,5
Genet,1.41,17.5
Giraffe,529.006,680.005
Gorilla,206.996,406.019
Grey seal,85.004,324.992
Rock hyrax-a,0.75,12.3
Human,61.998,1320.02
African elephant,6654.18,5711.86
Water opossum,3.5,3.9
Rhesus monkey,6.8,179.003
Kangaroo,34.998,56.003
Yellow-bellied marmot,4.05,17
Golden hamster,0.12,1
Mouse,0.023,0.4
Little brown bat,0.01,0.25
Slow loris,1.4,12.5
Okapi,250.01,489.997
Rabbit,2.5,12.1
Sheep,55.501,175.002
Jaguar,100.003,156.993
Chimpanzee,52.159,440.011
Baboon,10.55,179.504
Desert hedgehog,0.55,2.4
Giant armadillo,59.997,80.996
Rock hyrax-b,3.6,21
Raccoon,4.288,39.201
Rat,0.28,1.9
East American mole,0.075,1.2
Mole rat,0.122,3
Musk shrew,0.048,0.33
Pig,192.001,180.008
Echidna,3,25.001
Brazilian tapir,160.004,169
Tenrec,0.9,2.6
Phalanger,1.62,11.4
Tree shrew,0.104,2.5
Red fox,4.235,50.4
