location,age,weight
1,3,0.44
1,3,0.5
1,3,0.66
1,3,0.78
1,4,1.2
1,4,1.18
1,4,1.08
1,6,1.12
1,6,1.72
1,7,1.04
1,7,1.66
1,7,1.7
1,8,2.62
1,9,1.88
1,10,2.26
1,11,4.1
1,11,4.56
1,11,2.12
1,11,3.96
1,11,3.84
1,12,5.58
1,12,5.64
1,12,4.26
1,13,6
1,13,2.54
1,13,3.82
1,14,4.5
1,14,5.18
1,14,4.78
1,14,5.34
1,14,4.04
1,15,6.38
1,15,4.08
1,16,4.56
1,22,6.44
2,3,0.76
2,4,1.38
2,5,1.2
2,5,1.76
2,6,2.6
2,6,2.16
2,6,2.64
2,6,2.52
2,6,3.08
2,6,2.12
2,7,2.72
2,7,2.96
2,8,4.54
2,8,5.26
2,8,5.6
2,8,2.52
2,8,3.9
2,10,3.94
2,10,6.22
2,10,4.96
2,13,9.02
2,13,8.2
2,13,8.26
2,14,6.4
2,15,10.06
2,15,8.6
2,18,11.06
2,19,10.78
2,22,12.04
2,24,13.92
