A,D,S,C,P,E,Y
0,0,1.75,13.4,0.274,1,12.85
1,1,2.7,37.9,1.267,0,5.52
1,3,4.1,3.9,0.198,1,6.29
0,4,2.35,5.3,0.526,0,6.11
1,6,4.25,7.1,0.25,0,2.45
0,9,1.6,6.9,0.018,1,3.61
0,18,1.3,4.6,0.307,0,0.47
0,25,3.35,4.9,0.194,0,4.56
0,27,2.85,12.1,0.751,0,6.35
1,28,2.2,5.2,0.084,0,5.06
1,29,4.4,4.1,0.236,0,2.76
1,32,3.1,2.8,0.214,0,4.05
0,33,3.95,6.8,0.796,0,5.74
1,35,2.9,3,0.124,0,4.84
1,38,2.05,7,0.144,0,11.86
0,39,4,11.3,0.398,0,4.45
0,53,3.35,4.2,0.237,1,3.66
1,55,3.7,3.3,0.96,0,4.22
0,56,3.8,2.2,0.23,0,1.16
1,59,3.4,6.5,0.142,1,5.45
1,65,3.15,3.1,0.073,0,2.02
0,68,3.15,2.6,0.136,0,0.82
1,82,4.01,8.3,0.123,0,1.09
0,83,4.65,7.4,0.168,0,0.28
