,UniqueNo,gender,residence,Quiz,Assignment1,Assignment2,Final
1,1,Male,India,80,87,89,88
2,2,Male,Indonesia,85,81,87,88
3,3,Male,Korea,90,99,100,94
4,4,Male,Mongolia,85,93,97,83
5,5,Female,Thailand,95,91,90,86
6,6,Female,Hong Kong,100,93,82,95
7,7,Male,Australia,90,92,93,85
8,8,Male,Australia,85,85,94,88
9,9,Male,Danmark,80,90,90,83
10,10,Male,USA,95,89,93,98
11,11,Female,Australia,90,93,89,89
12,12,Male,China,80,93,88,84
13,13,Male,Canada,90,87,89,92
14,14,Male,Canada,100,98,96,98
15,15,Female,Hongkong,90,96,91,92
16,16,Male,China,95,91,95,91
17,17,Female,Australia,90,89,94,95
18,18,Female,China,80,94,89,84
19,19,Male,Korea,80,88,85,97
20,20,Female,France,80,86,84,86
21,21,Male,USA,85,90,99,87
22,22,Female,Japan,80,80,90,89
23,23,Male,Canada,95,84,88,79
24,24,Male,USA,100,94,92,88
25,25,Female,Korea,95,87,94,99
26,26,Male,Nepal,80,91,85,88
27,27,Male,USA,85,80,82,89
28,28,Male,Korea,90,87,95,100
29,29,Female,Canada,85,91,91,91
30,30,Male,India,85,85,83,88
31,31,Male,USA,90,82,100,83
32,32,Male,Korea,95,90,92,86
33,33,Male,Australia,100,97,88,86
34,34,Female,China,100,89,89,100
35,35,Male,German,80,88,88,96
