"","X","UniqueNo","gender","residence","Quiz","Assignment1","Assignment2","Final","total1","total2","total3","total4","total5","total6","total7","total8","total"
"1",1,1,"Male","India",80,87,89,88,87.2,88,87.3,87.1,87.2,87.9,88.1,88,88.1
"2",2,2,"Male","Indonesia",85,81,87,88,86.9,87.2,87.6,87,87.7,87.3,87.9,88,88
"3",3,3,"Male","Korea",90,99,100,94,94.7,95.1,94.2,94.1,93.6,94.5,94.6,94,95.1
"4",4,4,"Male","Mongolia",85,93,97,83,85.6,85.4,84.6,84.2,83.2,84,84.4,83,85.6
"5",5,5,"Female","Thailand",95,91,90,86,87.8,86.9,87.3,87.4,86.9,86.5,86.4,86,87.8
"6",6,6,"Female","Hong Kong",100,93,82,95,94,93.5,94.2,95.3,95.5,94.8,93.7,95,95.5
"7",7,7,"Male","Australia",90,92,93,85,87,86.5,86.3,86.2,85.5,85.7,85.8,85,87
"8",8,8,"Male","Australia",85,85,94,88,88,88.3,88.3,87.4,87.7,87.7,88.6,88,88.6
"9",9,9,"Male","Danmark",80,90,90,83,84.1,84.4,83.4,83.4,82.7,83.7,83.7,83,84.4
"10",10,10,"Male","USA",95,89,93,98,96.3,96.6,97.2,96.8,97.7,97.1,97.5,98,98
"11",11,11,"Female","Australia",90,93,89,89,89.5,89.4,89.1,89.5,89.1,89.4,89,89,89.5
"12",12,12,"Male","China",80,93,88,84,84.9,85.3,84,84.5,83.6,84.9,84.4,84,85.3
"13",13,13,"Male","Canada",90,87,89,92,91,91.2,91.5,91.3,91.8,91.5,91.7,92,92
"14",14,14,"Male","Canada",100,98,96,98,98,97.8,98,98.2,98.2,98,97.8,98,98.2
"15",15,15,"Female","Hongkong",90,96,91,92,92.1,92.3,91.7,92.2,91.8,92.4,91.9,92,92.4
"16",16,16,"Male","China",95,91,95,91,91.8,91.4,91.8,91.4,91.4,91,91.4,91,91.8
"17",17,17,"Female","Australia",90,89,94,95,93.8,94.3,94.4,93.9,94.5,94.4,94.9,95,95
"18",18,18,"Female","China",80,94,89,84,85.1,85.5,84.1,84.6,83.6,85,84.5,84,85.5
"19",19,19,"Male","Korea",80,88,85,97,93.2,94.9,94.1,94.4,95.3,96.1,95.8,97,97
"20",20,20,"Female","France",80,86,84,86,85.2,85.8,85.2,85.4,85.4,86,85.8,86,86
"21",21,21,"Male","USA",85,90,99,87,88.3,88.5,88,87.1,86.8,87.3,88.2,87,88.5
"22",22,22,"Female","Japan",80,80,90,89,87.3,88.2,88.2,87.2,88.1,88.1,89.1,89,89.1
"23",23,23,"Male","Canada",95,84,88,79,82,80.4,81.5,81.1,80.6,79.5,79.9,79,82
"24",24,24,"Male","USA",100,94,92,88,90.2,89,89.6,89.8,89.2,88.6,88.4,88,90.2
"25",25,25,"Female","Korea",95,87,94,99,96.9,97.3,98.1,97.4,98.6,97.8,98.5,99,99
"26",26,26,"Male","Nepal",80,91,85,88,87.2,88,86.9,87.5,87.2,88.3,87.7,88,88.3
"27",27,27,"Male","USA",85,80,82,89,87,87.4,87.9,87.7,88.6,88.1,88.3,89,89
"28",28,28,"Male","Korea",90,87,95,100,97.2,98.2,98.5,97.7,99,98.7,99.5,100,100
"29",29,29,"Female","Canada",85,91,91,91,90.4,91,90.4,90.4,90.4,91,91,91,91
"30",30,30,"Male","India",85,85,83,88,86.9,87.2,87.2,87.4,87.7,87.7,87.5,88,88
"31",31,31,"Male","USA",90,82,100,83,85.3,84.6,85.4,83.6,83.7,82.9,84.7,83,85.4
"32",32,32,"Male","Korea",95,90,92,86,87.9,87,87.5,87.3,86.9,86.4,86.6,86,87.9
"33",33,33,"Male","Australia",100,97,88,86,88.7,87.3,87.6,88.5,87.4,87.1,86.2,86,88.7
"34",34,34,"Female","China",100,89,89,100,97.8,97.8,98.9,98.9,100,98.9,98.9,100,100
"35",35,35,"Male","German",80,88,88,96,92.8,94.4,93.6,93.6,94.4,95.2,95.2,96,96
