"class","density","hardness","size","weight","moisture","type"
"1","hrw",1.34925333333333,60.32952,2.30274,24.648,12.01538,"Healthy"
"2","hrw",1.28743966666667,56.08972,2.72573,33.2985,12.17396,"Healthy"
"3","hrw",1.23398533333333,43.98743,2.51246,31.758,11.87949,"Healthy"
"4","hrw",1.33653366666667,53.81704,2.27164,32.706,12.11407,"Healthy"
"5","hrw",1.25904,44.39327,2.35478,26.07,12.06487,"Healthy"
"6","hrw",1.30025766666667,48.12066,2.49132,33.2985,12.18577,"Healthy"
"7","hrw",1.31084033333333,48.90826,3.06134,36.498,11.70869,"Healthy"
"8","hrw",1.26126166666667,31.22386,2.70427,30.6915,12.2823,"Healthy"
"9","hrw",1.289228,32.51999,2.71499,34.128,11.89823,"Healthy"
"10","hrw",1.249943,23.58502,2.17895,30.2175,11.49407,"Healthy"
"11","hrw",1.21884466666667,55.39337,1.92688,22.1595,11.66021,"Healthy"
"12","hrw",1.26104033333333,41.65339,2.06701,25.7145,11.6154,"Healthy"
"13","hrw",1.22412966666667,23.40429,2.24063,27.492,11.63755,"Sprout"
"14","hrw",1.31024833333333,30.23363,2.45966,37.0905,11.76122,"Sprout"
"15","hrw",1.08478133333333,37.66656,1.9866,23.8185,10.8017,"Sprout"
"16","hrw",1.25783233333333,44.82628,2.72573,32.3505,11.92395,"Sprout"
"17","hrw",1.22217833333333,44.76003,1.58038,17.775,11.25645,"Sprout"
"18","hrw",1.27382666666667,44.90561,2.29235,29.388,11.90891,"Sprout"
"19","hrw",1.20706866666667,48.06401,1.69349,19.7895,11.58091,"Sprout"
"20","hrw",1.25904433333333,54.85931,2.92001,33.7725,11.62994,"Sprout"
"21","hrw",1.22534866666667,31.78179,2.23032,25.4775,11.49161,"Sprout"
"22","hrw",1.26179833333333,13.50923,2.15848,32.469,11.35804,"Sprout"
"23","hrw",1.229063,34.42005,2.96342,36.3795,11.90463,"Sprout"
"24","hrw",1.14421766666667,36.22179,2.29235,22.6335,11.80988,"Sprout"
"25","hrw",1.04696933333333,97.32772,2.80106,28.7955,11.44522,"Scab"
"26","hrw",1.20976466666667,67.09933,1.79933,22.3965,11.06002,"Scab"
"27","hrw",0.980528,81.02776,1.08123,10.7835,10.36699,"Scab"
"28","hrw",1.18073933333333,36.93693,2.48075,37.5645,11.39156,"Scab"
"29","hrw",0.845568,-2.49944,1.33562,13.3905,11.88724,"Scab"
"30","hrw",0.877583333333333,-0.5204,2.22003,19.434,11.8531,"Scab"
"31","hrw",0.918647666666667,57.30509,1.84809,15.2865,11.11906,"Scab"
"32","hrw",1.22664533333333,62.58716,2.34436,24.0555,11.91625,"Scab"
"33","hrw",1.122038,71.65434,1.29188,14.694,11.6898,"Scab"
"34","hrw",1.26859066666667,52.78539,2.07712,23.5815,11.5368,"Scab"
"35","hrw",1.270744,67.5039,2.27164,29.5065,11.47427,"Scab"
"36","hrw",1.190085,29.3,1.51,20.38,8.26,"Healthy"
