"COUNTRY","WINE","MORTALITY"
"Norway",2.799999952316284,6.199999809265137
"Scotland",3.200000047683716,9
"England",3.200000047683716,7.099999904632568
"Ireland",3.4000000953674316,6.800000190734863
"Finland",4.300000190734863,10.199999809265137
"Canada",4.900000095367432,7.800000190734863
"UnitedStates",5.099999904632568,9.300000190734863
"Netherlands",5.199999809265137,5.900000095367432
"NewZealand",5.900000095367432,8.899999618530273
"Denmark",5.900000095367432,5.5
"Sweden",6.599999904632568,7.099999904632568
"Australia",8.300000190734863,9.100000381469727
"Belgium",12.600000381469727,5.099999904632568
"Germany",15.100000381469727,4.699999809265137
"Austria",25.100000381469727,4.699999809265137
"Switzerland",33.099998474121094,3.0999999046325684
"Italy",75.9000015258789,3.200000047683716
"France",75.9000015258789,2.0999999046325684
