"county","buchanan2000","bush2000"
"ALACHUA",262,34062
"BAKER",73,5610
"BAY",248,38637
"BRADFORD",65,5413
"BREVARD",570,115185
"BROWARD",789,177279
"CALHOUN",90,2873
"CHARLOTTE",182,35419
"CITRUS",270,29744
"CLAY",186,41745
"COLLIER",122,60426
"COLUMBIA",89,10964
"DADE",561,289456
"DE SOTO",36,4256
"DIXIE",29,2698
"DUVAL",650,152082
"ESCAMBIA",504,73029
"FLAGLER",83,12608
"FRANKLIN",33,2448
"GADSDEN",39,4750
"GILCHRIST",29,3300
"GLADES",9,1840
"GULF",71,3546
"HAMILTON",24,2153
"HARDEE",30,3764
"HENDRY",22,4743
"HERNANDO",242,30646
"HIGHLANDS",99,20196
"HILLSBOROUGH",836,176967
"HOLMES",76,4985
"INDIAN RIVER",105,28627
"JACKSON",102,9138
"JEFFERSON",29,2481
"LAFAYETTE",10,1669
"LAKE",289,49963
"LEE",305,106141
"LEON",282,39053
"LEVY",67,6860
"LIBERTY",39,1316
"MADISON",29,3038
"MANATEE",272,57948
"MARION",563,55135
"MARTIN",108,33864
"MONROE",47,16059
"NASSAU",90,16404
"OKALOOSA",267,52043
"OKEECHOBEE",43,5058
"ORANGE",446,134476
"OSCEOLA",145,26216
"four",570,68581
"PINELLAS",1010,184312
"POLK",538,90101
"PUTNAM",147,13439
"ST. JOHNS",229,39497
"ST. LUCIE",124,34705
"SANTA ROSA",311,36248
"SARASOTA",305,83100
"SEMINOLE",194,75293
"SUMTER",114,12126
"SUWANNEE",108,8014
"TAYLOR",27,4051
"UNION",26,2326
"VOLUSIA",396,82214
"WAKULLA",46,4511
"WALTON",120,12176
"WASHINGTON",88,4983
"PALM BEACH",3407,152846
