"YEAR","YIELD","RAINFALL"
1890,24.5,9.600000381469727
1891,33.70000076293945,12.899999618530273
1892,27.899999618530273,9.899999618530273
1893,27.5,8.699999809265137
1894,21.700000762939453,6.800000190734863
1895,31.899999618530273,12.5
1896,36.79999923706055,13
1897,29.899999618530273,10.100000381469727
1898,30.200000762939453,10.100000381469727
1899,32,10.100000381469727
1900,34,10.800000190734863
1901,19.399999618530273,7.800000190734863
1902,36,16.200000762939453
1903,30.200000762939453,14.100000381469727
1904,32.400001525878906,10.600000381469727
1905,36.400001525878906,10
1906,36.900001525878906,11.5
1907,31.5,13.600000381469727
1908,30.5,12.100000381469727
1909,32.29999923706055,12
1910,34.900001525878906,9.300000190734863
1911,30.100000381469727,7.699999809265137
1912,36.900001525878906,11
1913,26.799999237060547,6.900000095367432
1914,30.5,9.5
1915,33.29999923706055,16.5
1916,29.700000762939453,9.300000190734863
1917,35,9.399999618530273
1918,29.899999618530273,8.699999809265137
1919,35.20000076293945,9.5
1920,38.29999923706055,11.600000381469727
1921,35.20000076293945,12.100000381469727
1922,35.5,8
1923,36.70000076293945,10.699999809265137
1924,26.799999237060547,13.899999618530273
1925,38,11.300000190734863
1926,31.700000762939453,11.600000381469727
1927,32.599998474121094,10.399999618530273
