"year","winner","condition","speed"
1896,"Ben Brush","good",51.663405000000004
1897,"Typhoon II","slow",49.81132
1898,"Plaudit","good",51.162789999999994
1899,"Manuel","fast",50
1900,"Lieut. Gibson","fast",52.277229999999996
1901,"His Eminence","fast",51.663405000000004
1902,"Alan-a-Dale","fast",51.26213500000001
1903,"Judge Himes","fast",51.162789999999994
1904,"Elwood","fast",51.361869999999996
1905,"Agile","slow",50.47801
1906,"Sir Huon","fast",51.24223500000001
1907,"Pink Star","slow",49.773755
1908,"Stone Street","slow",48.81656999999999
1909,"Wintergreen","slow",51.48206
1910,"Donau","fast",52.21519
1911,"Meridian","fast",52.8
1912,"Worth","slow",51.004635
1913,"Donerail","fast",52.884615000000004
1914,"Old Rosebud","fast",53.484605
1915,"Regret","fast",52.63158
1916,"George Smith","fast",53.225805
1917,"*Omar Khayyam","fast",52.969500000000004
1918,"Exterminator","slow",50.45871499999999
1919,"Sir Barton","slow",50.84745999999999
1920,"Paul Jones","slow",51.162789999999994
1921,"Behave Yourself","fast",53.140095
1922,"Morvich","fast",52.969500000000004
1923,"Zev","fast",52.63158
1924,"Black Gold","fast",52.715655000000005
1925,"Flying Ebony","slow",51.72414
1926,"Bubbling Over","fast",53.311795
1927,"Whiskery","slow",52.380950000000006
1928,"Reigh Count","slow",50.613495
1929,"Clyde Van Dusen","slow",50.45871499999999
1930,"Gallant Fox","good",51.72414
1931,"Twenty Grand","fast",54.18719
1932,"Burgoo King","fast",52.715655000000005
1933,"Brokers Tip","good",52.05047499999999
1934,"Cavalcade","fast",53.225805
1935,"Omaha","good",52.8
1936,"Bold Venture","fast",53.658535
1937,"War Admiral","fast",53.57143
1938,"Lawrin","fast",52.884615000000004
1939,"Johnstown","fast",53.484605
1940,"Gallahadion","fast",52.8
1941,"Whirlaway","fast",54.365735
1942,"Shut Out","fast",53.05465999999999
1943,"Count Fleet","fast",53.225805
1944,"Pensive","good",53.140095
1945,"Hoop Jr.","slow",51.96850500000001
1946,"Assault","slow",52.13269999999999
1947,"Jet Pilot","slow",52.05047499999999
1948,"Citation","slow",52.63158
1949,"Ponder","fast",53.140095
1950,"Middleground","fast",54.276315000000004
1951,"Count Turf","fast",53.833605000000006
1952,"Hill Gail","fast",54.276315000000004
1953,"Dark Star","fast",54.09836
1954,"Determine","fast",53.658535
1955,"Swaps","fast",54.18719
1956,"Needles","fast",53.484605
1957,"Iron Liege","fast",54.00981999999999
1958,"Tim Tam","slow",52.8
1959,"*Tomy Lee","fast",54.00981999999999
1960,"Venetian Way","good",53.921569999999996
1961,"Carry Back","good",53.225805
1962,"Decidedly","fast",54.817275
1963,"Chateaugay","fast",54.545455
1964,"Northern Dancer","fast",55
1965,"Lucky Debonair","fast",54.455445
1966,"Kauai King","fast",54.09836
1967,"Proud Clarion","fast",54.726369999999996
1968,"Forward Pass**","fast",54.00981999999999
1969,"Majestic Prince","fast",54.18719
1970,"Dust Commander","good",53.484605
1971,"Canonero II","fast",53.57143
1972,"Riva Ridge","fast",54.18719
1973,"Secretariat","fast",55.276379999999996
1974,"Cannonade","fast",53.225805
1975,"Foolish Pleasure","fast",54.09836
1976,"Bold Forbes","fast",54.276315000000004
1977,"Seattle Slew","fast",54.00981999999999
1978,"Affirmed","fast",54.455445
1979,"Spectacular Bid","fast",53.921569999999996
1980,"Genuine Risk","fast",54.09836
1981,"Pleasant Colony","fast",54.09836
1982,"Gato Del Sol","fast",53.921569999999996
1983,"Sunny’s Halo","fast",53.921569999999996
1984,"Swale","fast",53.921569999999996
1985,"Spend a Buck","fast",54.908485000000006
1986,"Ferdinand","fast",53.74593000000001
1987,"Alysheba","fast",53.484605
1988,"Winning Colors","fast",54.00981999999999
1989,"Sunday Silence","slow",52.8
1990,"Unbridled","good",54.09836
1991,"Strike the Gold","fast",53.658535
1992,"Lil E. Tee","fast",53.658535
1993,"Sea Hero","fast",53.921569999999996
1994,"Go for Gin","slow",53.398059999999994
1995,"Thunder Gulch","fast",54.455445
1996,"Grindstone","fast",54.545455
1997,"Silver Charm","fast",53.921569999999996
1998,"Real Quiet","fast",54.00981999999999
1999,"Charismatic","fast",53.658535
2000,"Fusaichi Pegasus","fast",54.49
