"CITY","MORT","PRECIP","EDUC","NONWHITE","NOX","SO2"
"San Jose, CA",790.7329711914062,13,12.199999809265137,3,32,3
"Wichita, KS",823.7639770507812,28,12.100000381469727,7.5,2,1
"San Diego, CA",839.708984375,10,12.100000381469727,5.900000095367432,66,20
"Lancaster, PA",844.052978515625,43,9.5,2.9000000953674316,7,32
"Minneapolis, MN",857.6220092773438,25,12.100000381469727,2,11,26
"Dallas, TX",860.1010131835938,35,11.800000190734863,14.800000190734863,1,1
"Miami, FL",861.4390258789062,60,11.5,13.5,1,1
"Los Angeles, CA",861.8330078125,11,12.100000381469727,7.800000190734863,319,130
"Grand Rapids, MI",871.3380126953125,31,10.899999618530273,5.099999904632568,3,10
"Denver, CO",871.7659912109375,15,12.199999809265137,4.699999809265137,8,28
"Rochester, NY",874.281005859375,32,11.100000381469727,5,4,18
"Hartford, CT",887.4660034179688,43,11.5,7.199999809265137,3,10
"Fort Worth, TX",891.7080078125,31,11.399999618530273,11.5,1,1
"Portland, OR",893.9910278320312,37,12,3.5999999046325684,21,44
"Worcester, MA",895.6959838867188,45,11.100000381469727,1,3,8
"Seattle, WA",899.2639770507812,35,12.199999809265137,5.699999809265137,7,20
"Bridgeport, CT",899.5289916992188,45,10.600000381469727,5.300000190734863,4,4
"Springfield, MA",904.155029296875,45,11.100000381469727,3.4000000953674316,4,20
"San Francisco, CA",911.7009887695312,18,12.199999809265137,13.699999809265137,171,86
"York, PA",911.8170166015625,42,9,4.800000190734863,8,49
"Utica, NY",912.2020263671875,40,10.300000190734863,2.5,2,11
"Canton, OH",912.3469848632812,36,10.699999809265137,6.699999809265137,7,20
"Kansas City, MO",919.72900390625,35,12,12.600000381469727,4,4
"Akron, OH",921.8699951171875,36,11.399999618530273,8.800000190734863,15,59
"New Haven, CT",923.2340087890625,46,11.300000190734863,8.800000190734863,3,8
"Milwaukee, WI",929.1500244140625,30,11.100000381469727,5.800000190734863,23,125
"Boston, MA",934.7000122070312,43,12.100000381469727,3.5,32,62
"Dayton, OH",936.2340087890625,36,11.399999618530273,12.399999618530273,4,16
"Providence, RI",938.5,42,10.100000381469727,2.200000047683716,4,18
"Flint, MI",941.1810302734375,30,10.800000190734863,13.100000381469727,4,11
"Reading, PA",946.1849975585938,41,9.600000381469727,2.700000047683716,11,89
"Syracuse, NY",950.6719970703125,38,11.399999618530273,3.799999952316284,5,25
"Houston, TX",952.5289916992188,46,11.399999618530273,21,5,1
"Saint Louis, MO",953.5599975585938,34,9.699999809265137,17.200000762939453,15,68
"Youngstown, OH",954.4420166015625,38,10.699999809265137,11.699999809265137,13,39
"Columbus, OH",958.8389892578125,37,11.899999618530273,13.100000381469727,9,15
"Detroit, MI",959.2210083007812,31,10.800000190734863,15.800000190734863,35,124
"Nashville, TN",961.0089721679688,45,10.100000381469727,21,14,78
"Allentown, PA",962.35400390625,44,9.800000190734863,.800000011920929,6,33
"Washington, DC",967.802978515625,41,12.300000190734863,25.899999618530273,28,102
"Indianapolis, IN",968.6649780273438,39,11.399999618530273,15.600000381469727,7,33
"Cincinnati, OH",970.4669799804688,40,10.199999809265137,13,26,146
"Greeensboro, NC",971.1220092773438,42,10.399999618530273,22.700000762939453,3,5
"Toledo, OH",972.4639892578125,31,10.699999809265137,9.5,7,25
"Atlanta, GA",982.291015625,47,11.100000381469727,27.100000381469727,8,24
"Cleveland, OH",985.9500122070312,35,11.100000381469727,14.699999809265137,21,64
"Louisville, KY",989.2650146484375,30,9.899999618530273,13.100000381469727,37,193
"Pittsburgh, PA",991.2899780273438,36,10.600000381469727,8.100000381469727,59,263
"New York, NY",994.6480102539062,42,10.699999809265137,11.300000190734863,26,108
"Albany, NY",997.875,35,11,3.5,10,39
"Buffalo, NY",1001.9019775390625,36,10.5,8.100000381469727,12,37
"Wilmington, DE",1003.5020141601562,45,11.300000190734863,12.100000381469727,11,42
"Memphis, TN",1006.489990234375,50,10.399999618530273,36.70000076293945,18,34
"Philadelphia, PA",1015.0230102539062,42,10.5,17.5,32,161
"Chattanooga, TN",1017.6129760742188,52,9.600000381469727,22.200000762939453,8,27
"Chicago, IL",1024.885009765625,33,10.899999618530273,16.299999237060547,63,278
"Richmond, VA",1025.501953125,44,11,28.600000381469727,9,48
"Birmingham, AL",1030.3800048828125,53,10.199999809265137,38.5,32,72
"Baltimore, MD",1071.2889404296875,43,9.600000381469727,24.399999618530273,38,206
"New Orleans, LA",1113.0560302734375,54,9.699999809265137,31.399999618530273,17,1
