room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
11156,40855,Private room,,Inner Sydney,78,4.5,1,1.0,65.0,2.0,-33.869342,151.226878,2015-02-16 09:59:48.163
12351,17061,Private room,,Inner Sydney,230,5.0,2,1.0,100.0,2.0,-33.865153,151.191896,2015-01-20 12:50:11.122
86853,476047,Entire home/apt,,Eastern Suburbs,20,4.5,4,2.0,197.0,2.0,-33.894804,151.267428,2015-01-20 12:59:03.543
13782,12894,Entire home/apt,,Eastern Suburbs,25,5.0,2,1.0,80.0,3.0,-33.888662,151.248351,2015-02-16 14:45:22.711
14250,55948,Entire home/apt,,Northern Beaches,0,,6,3.0,598.0,7.0,-33.800929,151.261722,2015-02-16 11:32:00.303
14935,58796,Private room,,Inner Sydney,59,4.5,2,1.0,69.0,1.0,-33.890765,151.20045,2015-01-20 13:27:57.016
14974,58796,Shared room,,Inner Sydney,49,4.5,1,1.0,53.0,1.0,-33.889667,151.200896,2015-01-20 14:32:54.001
15253,59850,Private room,,Inner Sydney,111,4.5,2,1.0,120.0,2.0,-33.880455,151.216541,2015-02-16 10:04:08.848
20865,64282,Entire home/apt,,Inner Sydney,4,5.0,10,4.0,481.0,4.0,-33.859072,151.172753,2015-01-20 14:38:14.767
26174,110561,Private room,,Eastern Suburbs,9,4.5,1,1.0,91.0,2.0,-33.889087,151.259404,2015-01-20 12:48:56.376
26741,113874,Entire home/apt,,Eastern Suburbs,8,4.0,4,1.0,104.0,2.0,-33.891581,151.283278,2015-01-20 14:19:02.633
27155,116337,Entire home/apt,,Inner Sydney,80,4.5,4,2.0,202.0,3.0,-33.882622,151.190222,2015-01-20 11:41:28.010
27495,113874,Entire home/apt,,Eastern Suburbs,5,4.5,4,2.0,195.0,3.0,-33.885855,151.256987,2015-01-20 13:55:18.529
39348,168828,Entire home/apt,,Eastern Suburbs,0,,2,1.0,100.0,7.0,-33.884821,151.282945,2015-02-16 12:16:11.821
