yA    yB 
25.33 26.45
26.77 27.53
22.76 20.02
20.94 22.83
25.40 28.05
22.49 23.67
24.54 23.25
20.40 21.38
21.85 24.39
22.21 23.77
26.21 27.35
22.07 21.44
29.09 27.14
25.00 27.35
22.96 26.61
22.13 25.12
22.91 26.64
25.04 23.01
27.43 27.00
24.34 25.36
24.08 24.63
25.71 26.77
21.58 23.06
22.13 22.54
26.28 24.36
28.02 24.14
25.24    NA
24.80    NA
22.41    NA
26.08    NA
24.29    NA
25.52    NA
23.18    NA
26.67    NA
24.39    NA
21.94    NA
24.93    NA
22.23    NA
23.48    NA
23.48    NA
25.91    NA
   NA 27.48
   NA 20.32
   NA 24.47
   NA 24.99
   NA 25.41
   NA 27.81
   NA 26.24
   NA 26.08
   NA 24.67
   NA 23.74
   NA 26.23
   NA 26.89
   NA 22.62
   NA 21.19
   NA 26.21
   NA 26.06
   NA 22.36
