"","e","y"
"1",532,0
"2",584,0
"3",672,2
"4",722,1
"5",904,1
"6",1236,0
"7",950,0
"8",1405,1
"9",776,3
"10",1013,0
"11",739,0
"12",1770,1
"13",821,0
"14",1115,2
"15",1164,3
"16",1164,0
"17",1303,0
"18",1774,3
"19",3585,1
"20",1193,1
"21",1213,1
"22",1232,1
"23",1517,4
"24",1520,3
"25",1862,3
"26",1888,1
"27",1247,0
"28",1381,2
"29",1643,2
"30",1660,4
"31",1827,4
"32",1486,3
"33",1593,2
"34",2265,4
"35",1524,1
"36",1759,3
"37",1309,0
"38",1529,4
"39",1677,1
"40",1654,2
"41",1785,3
"42",1979,4
"43",1767,4
"44",2465,2
"45",1750,2
"46",2458,4
"47",2383,2
"48",2717,3
"49",2282,0
"50",2115,0
"51",2852,2
"52",2856,5
"53",3174,5
"54",2369,1
"55",2557,1
"56",3859,3
"57",2641,1
"58",2741,1
"59",3055,3
"60",3513,1
"61",2728,2
"62",3354,6
"63",3814,0
"64",4014,2
"65",2612,2
"66",2815,1
"67",4294,2
"68",3450,8
"69",3628,6
"70",4219,1
"71",3932,6
"72",4082,4
"73",4203,1
"74",4022,3
"75",4636,5
"76",5571,2
"77",6436,4
"78",5344,3
"79",4445,4
"80",4705,5
"81",5039,2
"82",6043,6
"83",5121,8
"84",11260,5
"85",5789,0
"86",6044,6
"87",5569,8
"88",6130,7
"89",6249,3
"90",7002,3
"91",7851,9
"92",9573,7
"93",12050,18
"94",12131,17
