"","Gen","Age","IQ","math1","math2","read1","read2"
"1",1,121,99,12,11,27,17
"2",0,124,83,13,4,12,15
"3",1,103,117,5,8,30,26
"4",1,127,83,8,6,30,12
"5",0,115,109,7,4,26,27
"6",0,108,111,6,3,17,21
"7",1,106,92,9,9,25,30
"8",1,115,95,5,3,28,12
"9",0,140,79,8,3,28,23
"10",0,111,115,10,8,20,26
"11",0,109,120,5,5,26,19
"12",0,119,101,6,4,24,14
"13",0,119,87,10,5,8,14
"14",0,108,106,7,7,10,16
"15",0,131,100,6,5,21,20
"16",1,112,120,13,7,21,19
"17",0,118,99,4,4,26,16
"18",0,96,119,7,7,20,17
"19",0,148,66,10,2,16,11
"20",0,132,77,5,3,27,19
"21",1,108,124,8,6,29,29
"22",1,96,125,10,5,30,18
"23",0,118,104,9,4,18,23
"24",0,123,89,6,5,13,19
"25",1,109,97,8,5,28,26
"26",0,106,126,11,11,29,30
"27",0,142,68,5,2,7,17
"28",0,109,83,6,3,16,23
"29",0,150,64,6,1,11,7
"30",0,113,96,4,4,25,26
"31",0,117,91,6,4,30,19
"32",1,156,75,12,5,30,18
"33",1,119,103,8,5,14,22
"34",1,129,86,9,4,8,14
"35",0,114,118,9,3,24,19
"36",0,106,140,13,9,40,31
"37",0,114,120,12,9,17,21
"38",0,134,93,9,3,17,24
"39",1,109,112,7,2,31,24
"40",0,115,116,15,5,41,33
"41",0,109,123,10,4,34,24
"42",0,109,105,11,5,22,25
"43",1,101,121,5,1,35,28
"44",1,108,114,5,4,24,16
"45",1,116,113,13,6,18,20
"46",0,111,111,8,4,25,19
"47",1,120,114,9,8,36,23
"48",1,118,99,6,2,33,15
"49",1,109,101,12,2,23,16
"50",1,111,112,12,6,25,15
"51",1,116,125,3,33,16,23
"52",0,114,105,3,44,20,24
"53",0,129,100,6,22,18,20
"54",0,106,144,5,40,28,20
"55",0,110,101,7,14,17,13
"56",0,125,108,4,30,22,18
"57",1,105,112,3,30,14,16
"58",0,124,98,7,28,21,12
"59",0,111,105,1,24,22,13
"60",1,118,123,3,36,24,22
"61",1,103,148,8,43,32,18
"62",1,129,93,2,24,17,12
"63",0,104,129,3,39,24,17
"64",1,116,105,5,45,26,20
"65",0,112,111,4,35,17,13
"66",1,111,121,2,45,25,27
"67",1,109,115,7,44,20,20
"68",1,104,130,9,39,29,23
"69",0,107,114,7,42,30,21
"70",0,117,118,12,49,39,18
"71",1,114,103,7,26,30,19
"72",0,103,108,2,21,12,3
"73",0,114,123,1,26,31,9
"74",0,112,142,8,45,30,5
"75",0,107,120,2,26,25,7
"76",1,109,136,5,34,29,10
"77",1,113,131,7,24,28,8
"78",0,108,141,9,23,24,10
"79",1,116,106,5,26,22,3
"80",1,109,126,9,24,19,2
"81",0,110,125,7,24,23,2
"82",0,107,131,5,40,36,17
"83",1,113,104,3,28,29,19
"84",1,109,128,9,42,30,18
"85",0,109,133,7,31,26,9
"86",0,114,127,9,28,24,7
"87",0,107,138,6,46,36,4
"88",1,112,132,1,44,31,12
"89",1,197,136,2,29,32,5
"90",1,113,119,7,30,22,9
"91",0,115,106,4,24,17,3
"92",1,108,124,5,50,29,23
"93",0,108,124,4,48,14,7
"94",1,122,102,2,26,20,5
"95",1,124,83,3,10,15,6
"96",1,126,93,6,16,26,14
"97",0,104,113,8,30,23,8
"98",0,115,90,2,24,18,5
"99",1,117,103,5,27,17,5
"100",1,111,88,5,10,11,6
"101",1,115,111,7,16,16,10
"102",0,103,130,2,41,25,2
"103",0,122,91,8,32,9,5
"104",1,113,106,3,15,10,6
"105",0,111,115,2,43,28,7
"106",0,114,120,3,27,26,8
"107",1,118,116,4,40,19,5
"108",0,109,120,2,50,35,4
"109",0,118,123,6,41,18,4
