plot density yield
 1.00  2.00  8.25
 1.00  2.00  5.81
 1.00  4.00  8.69
 1.00  4.00  8.03
 1.00  6.00  7.96
 1.00  6.00  8.89
 1.00  8.00  6.13
 1.00  8.00  9.40
 2.00  2.00  5.47
 2.00  2.00  7.49
 2.00  4.00  7.61
 2.00  4.00  6.42
 2.00  6.00  8.05
 2.00  6.00  6.50
 2.00  8.00  4.97
 2.00  8.00  6.52
 3.00  2.00  5.44
 3.00  2.00  5.88
 3.00  4.00  8.34
 3.00  4.00  7.68
 3.00  6.00  8.66
 3.00  6.00  9.10
 3.00  8.00  9.95
 3.00  8.00  7.25
 4.00  2.00  6.19
 4.00  2.00  5.93
 4.00  4.00  8.67
 4.00  4.00  7.30
 4.00  6.00  8.40
 4.00  6.00  8.29
 4.00  8.00  6.31
 4.00  8.00  8.06
 5.00  2.00  6.07
 5.00  2.00  5.61
 5.00  4.00  8.48
 5.00  4.00  7.45
 5.00  6.00  6.43
 5.00  6.00  7.13
 5.00  8.00  6.13
 5.00  8.00  6.88
 6.00  2.00  4.60
 6.00  2.00  5.27
 6.00  4.00  6.46
 6.00  4.00  7.53
 6.00  6.00  7.73
 6.00  6.00 10.15
 6.00  8.00  8.96
 6.00  8.00  9.15
 7.00  2.00  5.86
 7.00  2.00  7.16
 7.00  4.00  6.91
 7.00  4.00  7.08
 7.00  6.00  9.58
 7.00  6.00  7.49
 7.00  8.00  7.07
 7.00  8.00  6.88
 8.00  2.00  5.36
 8.00  2.00  5.40
 8.00  4.00  8.28
 8.00  4.00  7.61
 8.00  6.00  7.80
 8.00  6.00  9.65
 8.00  8.00  7.03
 8.00  8.00  7.06
 9.00  2.00  5.71
 9.00  2.00  6.52
 9.00  4.00  7.92
 9.00  4.00  7.96
 9.00  6.00  8.08
 9.00  6.00  8.44
 9.00  8.00  8.17
 9.00  8.00  7.52
10.00  2.00  6.56
10.00  2.00  4.51
10.00  4.00  8.72
10.00  4.00  6.88
10.00  6.00  8.99
10.00  6.00  8.76
10.00  8.00  8.01
10.00  8.00  8.60
