EmpID	Sex	Age	EducYrs	EducLvl	WorkExp	Start	Senior	Salary
708	0	534	12	4	216.0	6600	70	9000
712	0	322	15	3	15.0	6300	70	11760
722	0	334	12	4	40.5	5880	70	10980
736	0	432	15	3	93.0	6600	94	13920
745	0	364	15	3	43.0	5700	96	13020
765	0	378	12	4	75.0	6000	87	11040
771	0	338	15	3	48.0	6000	72	11340
785	0	344	15	3	55.0	6300	68	12120
786	0	354	15	3	34.0	6300	82	32000
787	0	368	15	3	52.0	6000	81	10620
812	0	345	15	3	46.0	6300	67	12480
816	0	322	14	3	14.5	6000	71	11220
821	0	364	15	3	55.0	6600	79	11100
829	0	329	12	4	47.0	6300	66	13416
843	0	390	15	3	64.0	6300	92	12660
844	0	383	12	4	106.0	6600	64	13560
850	0	397	15	3	69.0	6600	83	13260
857	0	492	12	4	210.0	7200	65	11520
880	0	352	12	4	46.0	5700	95	9300
911	0	364	14	3	59.0	6300	91	15960
931	0	356	12	4	83.0	5700	96	14460
934	0	394	14	3	60.0	6600	90	15120
961	0	344	12	4	80.0	6300	66	12108
968	0	331	15	3	12.0	6300	76	17364
979	0	386	15	3	68.0	6000	96	16800
983	0	381	15	3	48.0	6300	91	10980
1007	0	349	15	3	48.0	6300	70	11940
1009	0	368	12	4	94.0	6600	79	13560
1033	0	401	12	4	119.5	6000	94	10800
1044	0	341	15	3	55.5	6300	70	10140
1067	0	307	15	3	9.5	5700	65	12660
1071	0	327	12	4	85.0	6300	63	15660
1103	0	361	12	4	85.0	6300	82	11940
1111	0	369	15	3	78.0	6600	67	10860
1124	0	365	15	3	78.0	6300	94	13560
644	1	294	12	4	5.0	4500	80	7860
645	1	276	12	4	0.0	4500	65	8700
648	1	297	8	5	9.0	4800	81	10980
651	1	309	15	3	7.0	5400	69	9660
662	1	289	12	4	12.0	4980	69	9780
663	1	384	16	2	19.0	6900	85	14280
666	1	292	12	4	5.0	4500	80	8940
675	1	279	12	4	0.0	4800	69	8640
680	1	290	12	4	0.0	4980	69	11160
682	1	283	12	4	0.0	4500	66	8160
684	1	680	12	4	139.0	5100	63	8580
691	1	310	12	4	0.0	4200	93	10560
698	1	298	12	4	0.0	4500	81	9060
701	1	299	12	4	7.0	6600	71	8880
710	1	340	15	3	24.0	6600	86	11760
714	1	279	8	5	17.0	4980	69	11640
716	1	297	12	4	5.0	4500	81	10920
720	1	337	15	3	0.0	4620	93	9660
724	1	300	12	4	18.0	4500	80	9360
729	1	281	12	4	2.0	4500	69	9060
742	1	546	12	4	197.5	5400	64	9360
743	1	740	12	4	204.5	7500	90	12600
746	1	301	12	4	7.5	4380	80	9720
750	1	322	15	3	11.0	4620	93	11700
753	1	285	12	4	0.0	4500	69	8340
762	1	301	12	4	3.5	4500	80	11400
774	1	307	12	4	5.5	4560	93	11040
780	1	332	15	3	31.5	5340	88	14220
781	1	315	12	4	24.0	4500	92	8040
790	1	288	12	4	2.0	4620	74	10440
796	1	705	15	3	265.0	7800	82	11100
803	1	315	15	3	7.0	4800	76	10200
809	1	298	12	4	24.0	5100	65	9000
813	1	307	15	3	21.5	5580	73	9180
818	1	322	16	2	20.0	7800	64	13140
828	1	311	12	4	9.5	4200	93	9180
847	1	296	12	4	0.0	4500	77	8520
863	1	351	16	2	26.0	7200	75	13200
871	1	294	12	4	0.0	4380	81	9240
873	1	327	12	4	22.0	6000	76	11664
876	1	292	12	4	0.0	4500	80	9360
879	1	284	12	4	4.5	4980	69	12240
885	1	292	8	5	4.5	4380	81	9000
888	1	281	12	4	0.0	4500	69	8160
912	1	295	12	4	18.0	4620	81	10680
913	1	667	17	1	375.0	5100	73	11640
919	1	301	12	4	0.0	4500	81	9960
924	1	303	12	4	11.0	4380	81	7860
929	1	362	16	2	2.5	6900	80	13800
937	1	361	16	2	12.0	7200	71	14640
941	1	299	12	4	8.5	4380	81	8820
955	1	295	12	4	11.0	4800	81	10200
970	1	325	15	3	47.0	4440	67	12540
980	1	350	16	2	4.0	6300	82	9300
981	1	292	12	4	4.0	4860	77	13800
994	1	326	15	3	18.5	5100	81	11280
1004	1	309	12	4	30.0	6120	72	11760
1011	1	310	12	4	16.0	4500	83	9600
1012	1	301	12	4	9.0	5700	63	11760
1015	1	326	12	4	47.0	5400	78	9840
1028	1	354	15	3	3.0	5400	94	10560
1039	1	345	15	3	5.0	7200	75	14820
1043	1	292	12	4	7.5	4800	79	9780
1050	1	306	12	4	6.0	4200	92	11400
1054	1	296	12	4	4.5	4380	79	9900
1056	1	345	15	3	22.0	5400	90	13020
1059	1	281	12	4	1.5	4500	68	9120
1062	1	534	12	4	3.0	6000	90	13320
1063	1	365	16	2	0.0	6600	90	15420
1064	1	293	12	4	19.5	5100	69	9540
1076	1	300	12	4	0.0	4380	80	7260
1078	1	618	12	4	181.0	5400	67	8340
1035	1	527	16	2	143.0	6600	98	12120
1090	1	342	15	3	6.0	7200	78	13020
1091	1	328	12	4	32.0	5400	73	11160
1099	1	328	12	4	18.0	5580	72	11520
1102	1	284	12	4	0.0	4500	69	9120
1108	1	284	12	4	1.5	4500	69	8280
1110	1	349	15	3	56.5	5580	64	10080
1125	1	726	8	5	159.0	4800	73	8460
1129	1	289	12	4	13.0	4500	81	9240
