dose age resttime
0 12 55
0 9 59
0 15 52
0 5 39
0 9 57
0 11 62
0 6 53
0 7 59
0 12 47
0 8 59
0 16 53
0 15 67
0 7 65
0 14 58
0 12 53
10 14 122
10 10 102
10 10 98
10 6 91
10 16 139
10 9 102
10 12 121
10 5 77
10 7 72
10 11 87
10 14 116
10 13 130
10 7 89
10 11 115
10 6 73
20 12 157
20 12 158
20 12 159
20 9 126
20 7 128
20 5 111
20 16 200
20 8 120
20 11 146
20 13 175
20 15 186
20 11 162
20 7 110
20 10 153
20 11 137
30 15 251
30 14 234
30 15 248
30 5 126
30 13 219
30 15 253
30 6 144
30 13 213
30 9 175
30 5 130
30 9 169
30 16 272
30 9 170
30 15 255
30 6 132
