rrate,colour,size,week
28,blue,300,A
26,blue,381,A
31,blue,226,A
27,blue,350,A
35,blue,100,A
32,blue,300,B
23,blue,381,B
29,blue,226,B
24,blue,350,B
37,blue,100,B
34,green,153,A
29,green,334,A
25,green,473,A
31,green,264,A
29,green,325,A
33,green,153,B
27,green,334,B
22,green,473,B
34,green,264,B
25,green,325,B
31,orange,144,A
25,orange,359,A
27,orange,296,A
29,orange,243,A
28,orange,252,A
35,orange,144,B
28,orange,359,B
25,orange,296,B
25,orange,243,B
31,orange,252,B
