Kaggle_Set,Kaggle_Id,Survived,Pclass,Name,Sex,Kaggle_Age,SibSp,ParCh,Ticket,Fare,Cabin,Embarked,ID_No,Age,Age_Group,Group,Class,Home_Country,English,ESC,Nat_Group,Boarded
train,1,0,3,"Braund, Mr. Owen Harris",male,22,1,0,A/5 21171,7.25,,S,255,22,20to24years,Passengers,3rd Class,England,1,1,British,Southampton
train,2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,71.2833,C85,C,491,35,35to39years,Passengers,1st Class,USA,0,1,American,Cherbourg
train,3,1,3,"Heikkinen, Miss. Laina",female,26,0,0,STON/O2. 3101282,7.925,,S,883,26,25to29years,Passengers,3rd Class,Finland,0,0,European,Southampton
train,4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,113803,53.1,C123,S,719,35,35to39years,Passengers,1st Class,USA,0,1,American,Southampton
train,5,0,3,"Allen, Mr. William Henry",male,35,0,0,373450,8.05,,S,35,35,35to39years,Passengers,3rd Class,England,1,1,British,Southampton
train,6,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q,583,22,20to24years,Passengers,3rd Class,Ireland,0,1,Irish,Queenstown
train,7,0,1,"McCarthy, Mr. Timothy J",male,54,0,0,17463,51.8625,E46,S,1307,54,50yearsplus,Passengers,1st Class,USA,0,1,American,Southampton
train,8,0,3,"Palsson, Master. Gosta Leonard",male,2,3,1,349909,21.075,,S,1542,2,00to13years,Children,3rd Class,Sweden,0,0,European,Southampton
train,9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,347742,11.1333,,S,1029,26,25to29years,Passengers,3rd Class,USA,0,1,American,Southampton
train,10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,237736,30.0708,,C,1442,14,14to19years,Passengers,2nd Class,Lebanon,0,0,Ottoman,Cherbourg
train,11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,PP 9549,16.7,G6,S,1794,4,00to13years,Children,3rd Class,Sweden,0,0,European,Southampton
train,12,1,1,"Bonnell, Miss. Elizabeth",female,58,0,0,113783,26.55,C103,S,223,61,50yearsplus,Passengers,1st Class,USA,0,1,American,Southampton
train,13,0,3,"Saundercock, Mr. William Henry",male,20,0,0,A/5. 2151,8.05,,S,1798,19,14to19years,Passengers,3rd Class,England,1,1,British,Southampton
train,14,0,3,"Andersson, Mr. Anders Johan",male,39,1,5,347082,31.275,,S,49,39,35to39years,Passengers,3rd Class,Sweden,0,0,European,Southampton
train,15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,350406,7.8542,,S,2075,14,14to19years,Passengers,3rd Class,Sweden,0,0,European,Southampton
train,16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,0,248706,16,,S,900,56,50yearsplus,Passengers,2nd Class,India,0,1,OES,Southampton
train,17,0,3,"Rice, Master. Eugene",male,2,4,1,382652,29.125,,Q,1691,7,00to13years,Children,3rd Class,Ireland,0,1,Irish,Queenstown
train,18,1,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13,,S,2168,23,20to24years,Passengers,2nd Class,England,1,1,British,Southampton
train,19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,345763,18,,S,2064,31,30to34years,Passengers,3rd Class,Belgium,0,0,European,Southampton
