ID.No	Survived	Sex	Cabin	Age
2131	1	female	second	0
103	1	female	third	0
537	1	female	third	0
39	1	male	first	0
321	1	male	second	0
816	1	male	second	0
1699	1	male	second	0
506	0	male	third	0
1566	0	male	third	0
20	1	male	third	0
2001	1	male	third	0
1158	1	female	second	1
1126	0	female	third	1
1029	1	female	third	1
1436	1	female	third	1
1793	1	female	third	1
163	1	male	second	1
1262	1	male	second	1
772	0	male	third	1
1547	0	male	third	1
536	1	male	third	1
37	0	female	first	2
1661	1	female	second	2
51	0	female	third	2
1733	0	female	third	2
1868	0	female	third	2
1952	0	female	third	2
918	1	female	third	2
1601	1	female	third	2
1448	1	male	second	2
2128	1	male	second	2
1543	0	male	third	2
1552	0	male	third	2
1691	0	male	third	2
1159	1	female	second	3
1174	0	female	third	3
1545	0	female	third	3
1568	0	female	third	3
102	1	female	third	3
1450	1	male	second	3
1700	1	male	second	3
81	1	male	third	3
464	1	male	third	3
161	1	female	second	4
2127	1	female	second	4
2132	1	female	second	4
1068	1	female	third	4
1117	1	female	third	4
1794	1	female	third	4
571	1	male	first	4
57	0	male	third	4
1688	0	male	third	4
1782	0	male	third	4
1031	1	male	third	4
1412	1	male	third	4
1603	1	male	third	4
84	1	female	third	5
105	1	female	third	5
629	1	female	third	5
78	0	male	third	5
1173	0	male	third	5
1865	0	male	third	5
839	1	female	second	6
50	0	female	third	6
1916	1	male	first	6
1544	0	male	third	6
859	1	female	second	7
232	0	female	third	7
686	0	female	third	7
1035	0	female	third	7
1773	0	female	third	7
1550	0	male	third	7
1690	0	male	third	7
1395	1	male	third	7
1411	1	male	third	7
427	1	female	second	8
1662	1	female	second	8
1175	0	female	third	8
1546	0	female	third	8
521	1	male	second	8
595	1	male	second	8
1038	0	male	third	8
1692	0	male	third	8
2031	1	male	third	8
54	0	female	third	9
1867	0	female	third	9
2033	1	female	third	9
80	0	male	third	9
231	0	male	third	9
769	0	male	third	9
2053	0	male	third	9
465	1	male	third	9
763	1	male	third	9
1507	1	male	third	9
770	0	female	third	10
1776	0	female	third	10
2058	0	female	third	10
1687	0	male	third	10
1821	0	male	third	10
2052	0	male	third	10
56	0	female	third	11
353	1	male	first	11
773	0	male	third	11
868	0	male	third	11
1866	0	male	third	11
1466	1	male	third	11
164	1	female	second	12
2111	1	female	second	12
1176	0	female	third	12
1772	0	male	third	12
351	1	female	first	13
1351	1	female	second	13
1761	1	male	first	13
82	0	male	third	13
1443	1	female	second	14
1774	0	female	third	14
2075	0	female	third	14
1467	1	female	third	14
1968	0	male	second	14
3	0	male	third	14
767	0	male	third	14
1549	0	male	third	14
1964	1	male	third	14
276	1	female	second	15
97	1	female	third	15
1434	1	female	third	15
2206	1	female	third	15
42	0	male	third	15
625	0	male	third	15
1790	0	male	third	15
2065	0	male	third	15
1209	1	female	first	16
1250	1	female	first	16
771	0	female	third	16
990	0	female	third	16
6	1	female	third	16
457	1	female	third	16
477	1	female	third	16
1328	1	female	third	16
1500	1	female	third	16
2007	1	female	third	16
726	0	male	second	16
1419	0	male	second	16
5	0	male	third	16
533	0	male	third	16
621	0	male	third	16
688	0	male	third	16
1154	0	male	third	16
1492	0	male	third	16
1522	0	male	third	16
1548	0	male	third	16
1657	0	male	third	16
1752	0	male	third	16
1777	0	male	third	16
2006	0	male	third	16
559	1	female	first	17
916	1	female	first	17
979	1	female	second	17
1178	1	female	second	17
1843	1	female	second	17
91	0	female	third	17
299	0	female	third	17
837	0	female	third	17
52	1	female	third	17
751	1	female	third	17
1901	1	female	third	17
344	0	male	first	17
1996	1	male	first	17
59	0	male	second	17
323	0	male	third	17
324	0	male	third	17
490	0	male	third	17
523	0	male	third	17
560	0	male	third	17
623	0	male	third	17
1014	0	male	third	17
1058	0	male	third	17
1435	0	male	third	17
1490	0	male	third	17
1633	0	male	third	17
1769	0	male	third	17
1788	0	male	third	17
90	1	female	first	18
1284	1	female	first	18
1759	1	female	first	18
1897	1	female	first	18
1975	1	female	first	18
910	0	female	second	18
274	1	female	second	18
575	1	female	second	18
70	0	female	third	18
124	0	female	third	18
335	0	female	third	18
883	0	female	third	18
1610	0	female	third	18
2062	0	female	third	18
11	1	female	third	18
21	1	female	third	18
106	1	female	third	18
1428	1	female	third	18
1471	1	female	third	18
1710	1	female	third	18
1860	1	female	third	18
2041	1	female	third	18
1283	0	male	first	18
113	0	male	second	18
556	0	male	second	18
643	0	male	second	18
658	0	male	second	18
1727	0	male	second	18
160	0	male	third	18
203	0	male	third	18
313	0	male	third	18
399	0	male	third	18
617	0	male	third	18
662	0	male	third	18
681	0	male	third	18
822	0	male	third	18
1070	0	male	third	18
1128	0	male	third	18
1431	0	male	third	18
1734	0	male	third	18
1775	0	male	third	18
2157	0	male	third	18
2165	0	male	third	18
413	1	male	third	18
581	1	male	third	18
201	1	female	first	19
783	1	female	first	19
1255	1	female	first	19
1459	1	female	first	19
155	1	female	second	19
178	1	female	second	19
1620	1	female	second	19
991	0	female	third	19
1341	0	female	third	19
44	1	female	third	19
554	1	female	third	19
753	1	female	third	19
1438	1	female	third	19
691	0	male	first	19
336	0	male	second	19
1460	0	male	second	19
1583	0	male	second	19
1353	1	male	second	19
25	0	male	third	19
295	0	male	third	19
453	0	male	third	19
474	0	male	third	19
500	0	male	third	19
675	0	male	third	19
798	0	male	third	19
801	0	male	third	19
807	0	male	third	19
820	0	male	third	19
1033	0	male	third	19
1071	0	male	third	19
1084	0	male	third	19
1321	0	male	third	19
1392	0	male	third	19
1563	0	male	third	19
1608	0	male	third	19
1675	0	male	third	19
1778	0	male	third	19
1798	0	male	third	19
1833	0	male	third	19
1910	0	male	third	19
1944	0	male	third	19
602	1	male	third	19
1312	1	male	third	19
284	1	female	second	20
922	1	female	second	20
1853	1	female	second	20
251	0	female	third	20
680	0	female	third	20
1056	0	female	third	20
1102	0	female	third	20
1254	0	female	third	20
1518	0	female	third	20
1781	0	female	third	20
1082	1	female	third	20
1839	1	female	third	20
1482	1	male	first	20
458	0	male	second	20
534	0	male	second	20
743	0	male	second	20
905	0	male	second	20
58	0	male	third	20
98	0	male	third	20
187	0	male	third	20
380	0	male	third	20
411	0	male	third	20
676	0	male	third	20
989	0	male	third	20
1012	0	male	third	20
1182	0	male	third	20
1230	0	male	third	20
1245	0	male	third	20
1336	0	male	third	20
1442	0	male	third	20
1445	0	male	third	20
1475	0	male	third	20
1514	0	male	third	20
1517	0	male	third	20
1768	0	male	third	20
1856	0	male	third	20
1878	0	male	third	20
