ID.No,Survived,Cabin,Gender,Age,Home_Country,ESC,Nat_Group
2131,1,second,female,0,England,1,British
539,1,third,female,0,England,1,British
103,1,third,female,0,Lebanon,0,Ottoman
39,1,first,male,0,Canada,1,OES
1699,1,second,male,0,England,1,British
321,1,second,male,0,Siam,0,Other
817,1,second,male,0,USA,1,American
1565,0,third,male,0,England,1,British
21,1,third,male,0,England,1,British
2001,1,third,male,0,Lebanon,0,Ottoman
506,0,third,male,0,Sweden,0,European
1157,1,second,female,1,France,0,European
1435,1,third,female,1,Lebanon,0,Ottoman
1125,0,third,female,1,Sweden,0,European
1793,1,third,female,1,Sweden,0,European
1028,1,third,female,1,USA,1,American
1261,1,second,male,1,Canada,1,OES
163,1,second,male,1,India,1,OES
772,0,third,male,1,England,1,British
538,1,third,male,1,England,1,British
1546,0,third,male,1,Finland,0,European
37,0,first,female,2,Canada,1,OES
1661,1,second,female,2,England,1,British
1733,0,third,female,2,Finland,0,European
917,1,third,female,2,Finland,0,European
1600,1,third,female,2,Lebanon,0,Ottoman
51,0,third,female,2,Sweden,0,European
1868,0,third,female,2,Sweden,0,European
1952,0,third,female,2,USA,1,American
2128,1,second,male,2,England,1,British
1447,1,second,male,2,France,0,European
1551,0,third,male,2,Finland,0,European
1690,0,third,male,2,Ireland,1,Irish
1542,0,third,male,2,Sweden,0,European
1158,1,second,female,3,France,0,European
1567,0,third,female,3,England,1,British
1173,0,third,female,3,France,0,European
102,1,third,female,3,Lebanon,0,Ottoman
1544,0,third,female,3,Sweden,0,European
1700,1,second,male,3,England,1,British
1449,1,second,male,3,France,0,European
464,1,third,male,3,England,1,British
81,1,third,male,3,Sweden,0,European
2132,1,second,female,4,England,1,British
2127,1,second,female,4,England,1,British
161,1,second,female,4,India,1,OES
1068,1,third,female,4,Slovenia,0,European
1794,1,third,female,4,Sweden,0,European
1118,1,third,female,4,Switzerland,0,European
571,1,first,male,4,USA,1,American
1781,0,third,male,4,England,1,British
1688,0,third,male,4,Ireland,1,Irish
1602,1,third,male,4,Lebanon,0,Ottoman
1411,1,third,male,4,Lebanon,0,Ottoman
57,0,third,male,4,Sweden,0,European
1030,1,third,male,4,USA,1,American
105,1,third,female,5,Lebanon,0,Ottoman
84,1,third,female,5,Sweden,0,European
629,1,third,female,5,USA,1,American
1172,0,third,male,5,France,0,European
78,0,third,male,5,Sweden,0,European
1865,0,third,male,5,Sweden,0,European
839,1,second,female,6,England,1,British
50,0,third,female,6,Sweden,0,European
1916,1,first,male,6,USA,1,American
1543,0,third,male,6,Sweden,0,European
859,1,second,female,7,England,1,British
1773,0,third,female,7,England,1,British
686,0,third,female,7,England,1,British
1035,0,third,female,7,England,1,British
232,0,third,female,7,Lebanon,0,Ottoman
1549,0,third,male,7,Finland,0,European
1691,0,third,male,7,Ireland,1,Irish
1410,1,third,male,7,Lebanon,0,Ottoman
1387,1,third,male,7,Russia,0,European
427,1,second,female,8,England,1,British
1662,1,second,female,8,England,1,British
1174,0,third,female,8,France,0,European
1545,0,third,female,8,Sweden,0,European
521,1,second,male,8,England,1,British
595,1,second,male,8,USA,1,American
1038,0,third,male,8,England,1,British
1692,0,third,male,8,Ireland,1,Irish
2031,1,third,male,8,Lebanon,0,Ottoman
2033,1,third,female,9,Lebanon,0,Ottoman
54,0,third,female,9,Sweden,0,European
1867,0,third,female,9,Sweden,0,European
2053,0,third,male,9,England,1,British
769,0,third,male,9,England,1,British
465,1,third,male,9,England,1,British
763,1,third,male,9,England,1,British
231,0,third,male,9,Lebanon,0,Ottoman
1506,1,third,male,9,Norway,0,European
80,0,third,male,9,Sweden,0,European
2058,0,third,female,10,Belgium,0,European
1776,0,third,female,10,England,1,British
770,0,third,female,10,England,1,British
2052,0,third,male,10,England,1,British
1687,0,third,male,10,Ireland,1,Irish
1821,0,third,male,10,Lebanon,0,Ottoman
