Age.Group,Mean.Age,P.Class,Sex,English,Survived,Passengers
00to13years,7.5,first,female,0,1,2
00to13years,6.8,first,male,0,5,5
00to13years,6.4,second,female,0,5,5
00to13years,5.8,second,female,1,9,9
00to13years,2.1,second,male,0,7,7
00to13years,3.3,second,male,1,4,4
00to13years,4.7,third,female,0,14,30
00to13years,6.3,third,female,1,1,7
00to13years,6.1,third,male,0,10,31
00to13years,6.1,third,male,1,5,14
14to19years,17.8,first,female,0,13,13
14to19years,17.8,first,male,0,1,4
14to19years,16.7,second,female,0,5,6
14to19years,18.2,second,female,1,5,5
14to19years,17.5,second,male,0,0,2
14to19years,17.6,second,male,1,1,11
14to19years,17.1,third,female,0,22,34
14to19years,16.8,third,female,1,3,6
14to19years,17.4,third,male,0,2,56
14to19years,17.5,third,male,1,3,19
20to24years,22.6,first,female,0,17,17
20to24years,22.0,first,female,1,3,3
20to24years,22.8,first,male,0,4,12
20to24years,23.0,second,female,0,8,9
20to24years,22.2,second,female,1,9,9
20to24years,22.5,second,male,0,0,4
20to24years,22.3,second,male,1,2,21
20to24years,22.0,third,female,0,24,47
20to24years,21.3,third,female,1,1,4
20to24years,21.8,third,male,0,18,100
20to24years,21.7,third,male,1,1,26
25to29years,27.0,first,female,0,8,9
25to29years,25.5,first,female,1,2,2
25to29years,27.3,first,male,0,10,15
25to29years,29.0,first,male,1,0,1
25to29years,27.2,second,female,0,7,9
25to29years,27.4,second,female,1,7,9
25to29years,26.8,second,male,0,3,14
25to29years,26.6,second,male,1,1,19
25to29years,26.9,third,female,0,18,31
25to29years,26.3,third,female,1,2,3
25to29years,27.1,third,male,0,18,92
25to29years,27.1,third,male,1,0,10
30to34years,31.9,first,female,0,15,15
30to34years,30.5,first,female,1,2,2
30to34years,31.3,first,male,0,5,14
30to34years,30.0,first,male,1,0,1
30to34years,31.1,second,female,0,7,9
30to34years,32.4,second,female,1,7,7
30to34years,31.3,second,male,0,2,18
30to34years,31.7,second,male,1,2,11
30to34years,31.2,third,female,0,6,14
30to34years,32.6,third,female,1,4,5
30to34years,31.7,third,male,0,11,47
30to34years,32.6,third,male,1,1,14
35to39years,37.1,first,female,0,24,25
35to39years,36.8,first,male,0,11,24
35to39years,37.3,first,male,1,0,3
35to39years,36.5,second,female,0,1,2
35to39years,36.3,second,female,1,9,9
35to39years,36.8,second,male,0,0,6
35to39years,36.5,second,male,1,0,10
35to39years,37.3,third,female,0,5,11
35to39years,36.0,third,female,1,1,1
35to39years,36.8,third,male,0,4,27
35to39years,36.8,third,male,1,0,9
40to49years,45.1,first,female,0,24,24
40to49years,46.8,first,female,1,4,4
40to49years,44.5,first,male,0,10,37
40to49years,45.8,first,male,1,9,17
40to49years,43.2,second,female,0,5,5
40to49years,45.3,second,female,1,7,8
40to49years,42.6,second,male,0,1,7
40to49years,44.3,second,male,1,0,12
40to49years,42.5,third,female,0,2,13
40to49years,45.8,third,female,1,1,5
40to49years,42.8,third,male,0,2,30
40to49years,44.9,third,male,1,0,7
50yearsplus,56.4,first,female,0,26,28
50yearsplus,58.0,first,male,0,7,38
50yearsplus,57.7,first,male,1,0,6
50yearsplus,57.5,second,female,0,2,2
50yearsplus,55.3,second,female,1,2,4
50yearsplus,56.0,second,male,0,0,11
50yearsplus,59.4,second,male,1,1,7
50yearsplus,61.3,third,female,0,1,3
50yearsplus,63.0,third,female,1,0,1
50yearsplus,61.2,third,male,0,0,6
50yearsplus,55.9,third,male,1,0,7
