Taxes Bathrooms LotSize LivingSpace Garage Rooms Bedrooms Age Fireplaces Price 
4.9176       1.0  3.4720       0.998    1.0     7        4  42          0  25.9
5.0208       1.0  3.5310       1.500    2.0     7        4  62          0  29.5
4.5429       1.0  2.2750       1.175    1.0     6        3  40          0  27.9
4.5573       1.0  4.0500       1.232    1.0     6        3  54          0  25.9
5.0597       1.0  4.4550       1.121    1.0     6        3  42          0  29.9
3.8910       1.0  4.4550       0.988    1.0     6        3  56          0  29.9
5.8980       1.0  5.8500       1.240    1.0     7        3  51          1  30.9
5.6039       1.0  9.5200       1.501    0.0     6        3  32          0  28.9
15.4202       2.5  9.8000       3.420    2.0    10        5  42          1  84.9
14.4598       2.5 12.8000       3.000    2.0     9        5  14          1  82.9
5.8282       1.0  6.4350       1.225    2.0     6        3  32          0  35.9
5.3003       1.0  4.9883       1.552    1.0     6        3  30          0  31.5
6.2712       1.0  5.5200       0.975    1.0     5        2  30          0  31.0
5.9592       1.0  6.6660       1.121    2.0     6        3  32          0  30.9
5.0500       1.0  5.0000       1.020    0.0     5        2  46          1  30.0
8.2464       1.5  5.1500       1.664    2.0     8        4  50          0  36.9
6.6969       1.5  6.9020       1.488    1.5     7        3  22          1  41.9
7.7841       1.5  7.1020       1.376    1.0     6        3  17          0  40.5
9.0384       1.0  7.8000       1.500    1.5     7        3  23          0  43.9
5.9894       1.0  5.5200       1.256    2.0     6        3  40          1  37.5
7.5422       1.5  4.0000       1.690    1.0     6        3  22          0  37.9
8.7951       1.5  9.8900       1.820    2.0     8        4  50          1  44.5
6.0931       1.5  6.7265       1.652    1.0     6        3  44          0  37.9
8.3607       1.5  9.1500       1.777    2.0     8        4  48          1  38.9
8.1400       1.0  8.0000       1.504    2.0     7        3   3          0  36.9
9.1416       1.5  7.3262       1.831    1.5     8        4  31          0  45.8
12.0000       1.5  5.0000       1.200    2.0     6        3  30          1  41.0 
