teff gender x1 x2 x3 x4
489 "M" 81 151 45.5 43.61
423 "M" 68 156 46.45 44.69
507 "M" 80 165 76.5 54.57
467 "M" 107 149 55.5 43.27
340 "M" 43 134 49.4 49.21
524 "M" 129 163 72 49.96
488 "M" 139 159 86.2 53.05
445 "M" 88 135 64 49.51
388 "M" 99 141 44.15 39.57
579 "M" 121 145 44.25 51.89
433 "M" 91 129 42.5 53.77
409 "M" 87 115 79.25 56.32
410 "F" 69 125 59 55.66
569 "F" 57 131 31.75 63.97
425 "F" 77 141 80.5 45.32
344 "F" 81 122 75 46.67
324 "F" 0 141 49 41.21
505 "F" 53 152 49.35 43.83
235 "F" 77 141 60.75 41.61
501 "F" 76 132 41.25 64.57
400 "F" 65 157 50.75 42.41
584 "F" 97 166 32.25 57.95
434 "F" 76 141 54.5 57.9
