Time Type1 Type2 
239627 0 116566
234827 0 165576
240326 0 89944
1351841 51585 331481
1343674 62300 396920
791448 39485 308698
911080 40785 292478
581843 24390 148670
1224988 53832 409208
729993 1 279849
1416325 57240 448330
1314690 67189 401206
554037 200 244026
837245 36455 253417
880497 37059 325906
1416359 47618 579081
1314118 56665 500245
665257 27363 233218
816342 32864 213527
441679 21430 207103
871246 38119 312776
457379 1038 253679
582760 18633 212506
393694 683 229742
1100924 59887 298717
848772 241 327244
361838 18001 136253
1530413 65132 533048
818325 37698 332432
976259 30348 296296
1164375 75438 385840
794777 0 335678
696434 28608 253333
747899 34899 251992
1150411 52382 396857
700648 27911 219163
270079 16714 142587
592684 21443 201090
1344059 57744 462416
816371 35253 315493
926569 33461 290487
558285 24671 176214
1340413 52456 465781
1326995 56317 421993
485167 15168 184198
491197 29435 191351
1044241 47477 263573
1200131 46874 362644
355525 17865 133941
492515 983 195688
217456 0 117413
375190 1 177186
200214 6695 114331
323541 8672 127819
474781 18284 185823
238331 0 88355
236202 0 86584
505841 10581 207877
510139 10905 166798
196834 955 93181
731254 20689 318443
475880 13263 226589
242513 0 114640
1069067 20357 223745
347616 37 198946
677115 16809 205167
573904 20235 220733
228887 0 138207
341507 0 157256
775851 38578 331197
976955 47212 289095
1194771 62605 317461
288039 10605 94033
359635 7911 142471
170250 4170 57793
66357 1355 24948
361223 10807 117888
756671 20240 306180
1647680 74520 455251
431153 10585 166706
550916 10671 222873
478904 21395 245241
154846 3207 62318
240262 4579 71389
311418 10915 116168
343507 14220 141246
389273 15396 167995
415933 11037 152794
80118 2254 31446
458806 17635 178257
159716 3961 45001
393361 13835 221370
395591 11051 187064
789655 21514 308139
48733 885 14833
58698 2593 22071
73971 1617 22981
1192306 36271 475601
407454 16248 144126
1502937 75566 577746
612688 25668 224082
861942 38502 314083
1020279 43726 407143
613441 30801 295105
816359 30802 335208
525867 21606 308471
294281 13627 127545
400098 26995 153343
258479 18320 126917
394389 18126 141148
754656 37238 288383
532435 33267 209411
1069387 68151 564138
544103 48730 230830
823650 40226 395362
250846 0 131182
428186 26823 170764
942985 47055 378314
1033684 82755 417699
741804 53981 236721
449969 25936 178898
369051 21268 137881
936908 50568 380580
868239 44164 272499
677761 30592 233024
1039115 44946 339840
267730 0 130922
262560 0 138265
1225458 69549 427299
272128 0 156068
359638 8 184189
353858 0 176294
340070 0 213998
274069 0 150671
425641 18703 147711
832174 65593 270441
673041 43000 194949
840234 33683 298599
310617 10960 139280
268022 3532 87806
553508 22028 186031
993616 36144 374450
281085 14000 120159
302485 9286 127568
280833 0 110483
266340 0 145740
869621 0 421844
1504233 72818 384394
494342 64214 193853
661490 39978 264865
684137 44070 392725
723138 42372 368618
494635 22576 246000
878092 49990 390800
687473 33717 214752
697166 20901 268991
377615 17868 149125
359037 25248 218071
557992 306 226742
723328 36370 372322
1504591 1208 453640
447878 714 206909
335751 671 218150
390463 1243 173860
280877 186 181070
339067 32 169331
555979 32183 164101
601265 27532 150650
329588 13106 66323
1181685 58090 322404
841676 39842 266331
518648 21522 177320
409855 14610 165037
417717 20967 188245
445075 21804 189303
235230 624 150518
172508 2944 123030
167990 5514 112608
176354 653 104076
1028446 73479 339541
1244863 72058 419222
579389 9063 226301
898484 81796 263428
1259694 91777 399231
1058676 71166 307495
1176260 72412 357572
1460097 80574 472849
1091456 66334 381139
461769 27849 162551
494137 8728 240872
666431 9859 294128
575727 11541 259851
493338 7183 193574
311176 10195 120258
1232036 63526 463216
354236 9015 110385
354626 9736 113892
597387 27972 210314
555036 29570 166641
379736 17727 130266
2074134 145042 518330
1365321 82501 365013
764781 46552 232782
1136182 53507 396361
445819 20149 145154
1132995 38645 403820
650393 19969 235782
313167 7941 145853
1133621 61581 468853
258176 9075 103330
266208 7068 86804
271660 8165 97856
275782 9402 107688
443272 9145 181103
1204061 72205 408229
443718 8772 175832
1765066 102878 550023
1625438 120640 530452
548853 9187 247506
891989 64733 347347
620955 29094 135754
451578 6858 189851
1348829 75399 431882
975477 66494 386088
715428 48736 251222
548126 3880 166089
434061 4369 152858
1008291 63970 253434
1396067 85589 452540
655244 42789 212591
1161340 69348 360774
893885 53708 281510
807885 58107 269363
1112907 57283 342171
712088 54349 232021
938449 49517 261939
769945 42870 271012
459098 8759 158938
550172 10381 235737
394179 9742 132549
408794 8682 151559
311263 8833 137301
423101 1755 163259
306418 1148 175755
564663 1517 204809
720988 36186 273955
599183 1424 212749
406631 3077 234176
800408 30591 331960
853665 33098 314307
475180 20474 226408
573081 27456 200146
482333 19565 155438
595298 23471 204095
489943 14749 153203
352612 8487 123703
444482 19288 191713
783815 29183 336773
574792 24493 264411
792956 36980 264408
1360991 82453 442893
