"Country.Name" "Country.Code" "Y2013"
"1" "Afghanistan" "AFG" 20724663536.8245
"2" "Albania" "ALB" 12903854876.3724
"3" "Algeria" "DZA" 210183410526.104
"4" "American Samoa" "ASM" NA
"5" "Andorra" "ADO" NA
"6" "Angola" "AGO" 121703638683.744
"7" "Antigua and Barbuda" "ATG" 1.23e+09
"8" "Argentina" "ARG" 611755084645.166
"9" "Armenia" "ARM" 10432169571.25
"10" "Aruba" "ABW" NA
"11" "Australia" "AUS" 1560597150412.22
"12" "Austria" "AUT" 415843926201.396
"13" "Azerbaijan" "AZE" 73560484384.9586
"14" "Bahamas, The" "BHS" NA
"15" "Bahrain" "BHR" 32788114767.1784
"16" "Bangladesh" "BGD" 129856605444.79
"17" "Barbados" "BRB" NA
"18" "Belarus" "BLR" 71709513654.3393
"19" "Belgium" "BEL" 508115693499.71
"20" "Belize" "BLZ" 1604500000
"21" "Benin" "BEN" 8307019674.52028
"22" "Bermuda" "BMU" NA
"23" "Bhutan" "BTN" 1883654335.14569
"24" "Bolivia" "BOL" 30601157742.4023
"25" "Bosnia and Herzegovina" "BIH" 17827710270.8574
"26" "Botswana" "BWA" 14788476190.4762
"27" "Brazil" "BRA" 2245673032353.76
"28" "Brunei Darussalam" "BRN" 16111135788.9616
"29" "Bulgaria" "BGR" 53009839847.9913
"30" "Burkina Faso" "BFA" 11582556068.3345
"31" "Burundi" "BDI" 2718232385.26388
"32" "Cabo Verde" "CPV" 1888123343.77258
"33" "Cambodia" "KHM" 15249684397.0785
"34" "Cameroon" "CMR" 29274957493.3204
"35" "Canada" "CAN" 1825096387908.98
"36" "Cayman Islands" "CYM" NA
"37" "Central African Republic" "CAF" 1538175744.07775
"38" "Chad" "TCD" 13413893611.8533
"39" "Channel Islands" "CHI" NA
"40" "Chile" "CHL" 277198774856.807
"41" "China" "CHN" 9240270452050.24
"42" "Colombia" "COL" 378147773315.64
"43" "Comoros" "COM" 657300888.251354
"44" "Congo, Dem. Rep." "ZAR" 30629191170.4255
"45" "Congo, Rep." "COG" 14108139017.0836
"46" "Costa Rica" "CRI" 49621089476.1317
"47" "Cote d'Ivoire" "CIV" 30905260389.2216
"48" "Croatia" "HRV" 57538524788.8158
"49" "Cuba" "CUB" NA
"50" "Curacao" "CUW" NA
"51" "Cyprus" "CYP" NA
