Country Name,Country Code,2013
Aruba,ABW,
Andorra,AND,
Afghanistan,AFG,20309671015
Angola,AGO,1.24178E+11
Albania,ALB,12923240278
Arab World,ARB,2.85308E+12
United Arab Emirates,ARE,4.0234E+11
Argentina,ARG,6.09889E+11
Armenia,ARM,10432169571
American Samoa,ASM,
Antigua and Barbuda,ATG,1200587519
Australia,AUS,1.56037E+12
Austria,AUT,4.28322E+11
Azerbaijan,AZE,73560484385
Burundi,BDI,2714507031
Belgium,BEL,5.24806E+11
Benin,BEN,8307222087
Burkina Faso,BFA,11582556068
Bangladesh,BGD,1.4999E+11
Bulgaria,BGR,54479873100
Bahrain,BHR,32890110533
"Bahamas, The",BHS,8420000000
Bosnia and Herzegovina,BIH,17851326454
Belarus,BLR,71709513654
Belize,BLZ,1624294250
Bermuda,BMU,
Bolivia,BOL,30601157742
Brazil,BRA,2.24567E+12
Barbados,BRB,
Brunei Darussalam,BRN,16111135789
Bhutan,BTN,1781261413
Botswana,BWA,14784707345
Central African Republic,CAF,1538175744
Canada,CAN,1.82677E+12
Central Europe and the Baltics,CEB,1.41754E+12
Switzerland,CHE,6.85434E+11
Channel Islands,CHI,
Chile,CHL,2.77199E+11
China,CHN,9.24027E+12
Cote d'Ivoire,CIV,31062026533
Cameroon,CMR,29567504655
"Congo, Rep.",COG,14085852120
Colombia,COL,3.78415E+11
Comoros,COM,598925863
Cabo Verde,CPV,1879402554
Costa Rica,CRI,49621089476
Caribbean small states,CSS,67033118185
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,21911444503
Czech Republic,CZE,2.08796E+11
Germany,DEU,3.73026E+12
Djibouti,DJI,1456344495
Dominica,DMA,516666666.7
Denmark,DNK,3.35878E+11
Dominican Republic,DOM,61163676805
Algeria,DZA,2.10183E+11
East Asia & Pacific (developing only),EAP,1.14136E+13
East Asia & Pacific (all income levels),EAS,2.04986E+13
Europe & Central Asia (developing only),ECA,2.00115E+12
Europe & Central Asia (all income levels),ECS,2.29202E+13
Ecuador,ECU,94472679000
"Egypt, Arab Rep.",EGY,2.71973E+11
Euro area,EMU,1.31481E+13
Eritrea,ERI,3444097561
Spain,ESP,1.39304E+12
Estonia,EST,24880264958
Ethiopia,ETH,47525186490
European Union,EUU,1.79581E+13
Fragile and conflict affected situations,FCS,7.13499E+11
Finland,FIN,2.67329E+11
Fiji,FJI,3855017107
France,FRA,2.80643E+12
Faeroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,316245700
Gabon,GAB,19343506599
United Kingdom,GBR,2.67845E+12
Georgia,GEO,16140047012
Ghana,GHA,48137027487
Guinea,GIN,6144131903
"Gambia, The",GMB,903497025.7
Guinea-Bissau,GNB,960778479.5
Equatorial Guinea,GNQ,15580563836
Greece,GRC,2.4223E+11
Grenada,GRD,835581688.9
Greenland,GRL,
Guatemala,GTM,53796709475
Guam,GUM,
Guyana,GUY,2990128821
High income,HIC,5.1091E+13
"Hong Kong SAR, China",HKG,2.74013E+11
Honduras,HND,18550026035
Heavily indebted poor countries (HIPC),HPC,5.83955E+11
Croatia,HRV,57868674298
Haiti,HTI,8459326660
Hungary,HUN,1.33424E+11
Indonesia,IDN,8.68346E+11
Isle of Man,IMN,
India,IND,1.8768E+12
Not classified,INX,
Ireland,IRL,2.32077E+11
"Iran, Islamic Rep.",IRN,3.68904E+11
Iraq,IRQ,2.29327E+11
Iceland,ISL,15330057867
