team,Pld,W,D,L,GF,GA,GD,Pts,QR
Inter,38,25,10,3,69,26,43,85,champs_league
Roma,38,24,10,4,72,37,35,82,champs_league
Juventus,38,20,12,6,72,37,35,72,champs_league
Fiorentina,38,19,9,10,55,39,16,66,champs_league
Milan,38,18,10,10,66,38,28,64,europa_league
Sampdoria,38,17,9,12,56,46,10,60,europa_league
Udinese,38,16,9,13,48,53,−5,57,europa_league
Napoli,38,14,8,16,50,53,−3,50,europa_league
Atalanta,38,12,12,14,52,56,−4,48,
Genoa,38,13,9,16,44,52,−8,48,
Palermo,38,12,11,15,47,57,−10,47,
Lazio,38,11,13,14,47,51,−4,46,
Siena,38,9,17,12,40,45,−5,44,
Cagliari,38,11,9,18,40,56,−16,42,
Torino,38,8,16,14,36,49,−13,40,
Reggina,38,9,13,16,37,56,−19,40,
Catania,38,8,13,17,33,45,−12,37,
Empoli,38,9,9,20,29,52,−23,36,relegation
Parma,38,7,13,18,42,62,−20,34,relegation
Livorno,38,6,12,20,35,60,−25,30,relegation

