year mon hbfin hbfrbn hbpun
1970 1 12.4 55.8 280.814
1970 4 14 57.7 274.924
1970 7 16.6 60 282.367
1970 10 19.7 62.1 291.242
1971 1 24.6 64.2 292.043
1971 4 31.8 65.5 294.417
1971 7 41.5 67.6 304.952
1971 10 46 70.2 317.118
1972 1 49 69.9 320.987
1972 4 49.2 71.4 314.976
1972 7 54.5 69.7 319.574
1972 10 54.4 69.9 331.576
1973 1 62.2 74.3 339.859
1973 4 59.4 75 333.932
1973 7 57.7 76.2 332.838
1973 10 54.7 78.5 339.432
1974 1 54.1 79.5 342.459
1974 4 56.8 80.5 336.029
1974 7 56 81 340.881
1974 10 58.8 80.5 351.457
1975 1 65 81.4 371.201
1975 4 66 84.7 387.905
1975 7 65.5 87 411.381
1975 10 66.5 87.9 437.305
1976 1 68.1 89.8 461.423
1976 4 69.8 94.4 470.821
1976 7 74.6 96.4 488.327
1976 10 78.1 97 506.445
1977 1 84.7 96 524.258
1977 4 87.9 102.2 523.221
1977 7 95.5 104.7 543.35
1977 10 109.6 102.8 564.094
1978 1 124.5 101.6 585.233
1978 4 119.5 110.1 587.939
1978 7 120.9 115.3 603.571
1978 10 133.1 109.6 619.207
1979 1 132.8 110.9 630.518
1979 4 119.5 109.7 626.388
1979 7 124.2 115.5 638.836
1979 10 119 117.5 657.968
1980 1 125 116.7 667.123
1980 4 118.2 124.5 682.71
1980 7 124.7 120.7 709.958
1980 10 129.7 121.3 737.746
1981 1 138.2 119 773.676
1981 4 136.6 120 771.255
1981 7 130.7 124.3 789.799
1981 10 136.6 131 825.509
1982 1 136.1 126.6 858.888
1982 4 137.2 127 867.916
1982 7 140.6 134.4 925.631
1982 10 149.5 139.3 987.719
1983 1 156.2 136.7 1043.339
1983 4 160.1 141.7 1090.291
1983 7 160.1 155.4 1138.188
1983 10 166.3 151.9 1174.425
1984 1 166.3 150.8 1223.898
1984 4 171.6 152.9 1255.1
1984 7 175.6 155 1309.183
1984 10 192.9 160.9 1373.366
1985 1 199.6 161 1415.232
1985 4 213.8 169.1 1460.484
1985 7 222.9 169.7 1506.558
1985 10 224.8 181.3 1597.083
1986 1 232.6 184.8 1634.259
1986 4 250.9 183.9 1684.939
1986 7 265.5 190.8 1742.445
1986 10 263.4 211.3 1811.744
1987 1 272.8 196.4 1839.271
1987 4 281.1 212.3 1871.15
1987 7 279.5 211.9 1893.11
1987 10 299.7 222.6 1954.065
1988 1 332.5 217.5 1996.711
1988 4 345.4 227.6 2013.414
1988 7 345.9 229.2 2051.735
1988 10 362.2 238.4 2095.179
1989 1 373.5 228.6 2133.419
1989 4 366.4 231.8 2142.122
1989 7 391.8 221.1 2180.726
1989 10 426.1 226.8 2245.171
1990 1 445.4 217.9 2329.264
1990 4 451 231.4 2368.772
1990 7 463.8 234.4 2437.551
1990 10 487.1 235.1 2536.545
1991 1 492 241 2598.351
1991 4 502 247.5 2642.863
1991 7 506.3 258.6 2745.729
1991 10 520.9 266.5 2833.034
1992 1 536.4 265.8 2917.63
1992 4 558.2 276.9 2976.774
1992 7 562.8 279.7 3048.291
1992 10 576.7 295 3129.308
1993 1 585.9 298.5 3187.556
1993 4 596.8 313.1 3252.285
1993 7 619.1 319.4 3294.796
1993 10 650.3 332 3382.197
1994 1 661.1 337.3 3434.208
1994 4 659.9 347.6 3442.868
1994 7 682 353 3479.652
1994 10 667.3 364.5 3543.118
1995 1 707 363.7 3609.459
1995 4 762.5 372.6 3634.808
1995 7 820.4 367.7 3653.199
