>> q1
x           f0             f1          k0             k1             rel.err.
 1.00e-20  0.00000e+00  2.50000e-21          Inf  1.00000e+00  -1.00e+00
 1.00e-19  0.00000e+00  2.50000e-20          Inf  1.00000e+00  -1.00e+00
 1.00e-18  0.00000e+00  2.50000e-19          Inf  1.00000e+00  -1.00e+00
 1.00e-17  0.00000e+00  2.50000e-18          Inf  1.00000e+00  -1.00e+00
 1.00e-16  0.00000e+00  2.50000e-17          Inf  1.00000e+00  -1.00e+00
 1.00e-15  2.22045e-16  2.50000e-16  1.12590e+00  1.00000e+00  -1.12e-01
 1.00e-14  2.44249e-15  2.50000e-15  1.02355e+00  1.00000e+00  -2.30e-02
 1.00e-13  2.48690e-14  2.50000e-14  1.00527e+00  1.00000e+00  -5.24e-03
 1.00e-12  2.50022e-13  2.50000e-13  9.99911e-01  1.00000e+00   8.89e-05
 1.00e-11  2.50000e-12  2.50000e-12  1.00000e+00  1.00000e+00   8.27e-08
 1.00e-10  2.50000e-11  2.50000e-11  1.00000e+00  1.00000e+00   8.28e-08
 1.00e-09  2.50000e-10  2.50000e-10  1.00000e+00  1.00000e+00   8.31e-08
 1.00e-08  2.50000e-09  2.50000e-09  1.00000e+00  1.00000e+00  -2.33e-09
 1.00e-07  2.50000e-08  2.50000e-08  1.00000e+00  1.00000e+00   4.78e-09
 1.00e-06  2.50000e-07  2.50000e-07  1.00000e+00  1.00000e+00   3.28e-10
 1.00e-05  2.49999e-06  2.49999e-06  9.99996e-01  9.99996e-01  -3.78e-11
 1.00e-04  2.49991e-05  2.49991e-05  9.99963e-01  9.99963e-01   1.02e-12
 1.00e-03  2.49906e-04  2.49906e-04  9.99625e-01  9.99625e-01   3.15e-14
 1.00e-02  2.49068e-03  2.49068e-03  9.96279e-01  9.96279e-01   1.74e-16
 1.00e-01  2.41137e-02  2.41137e-02  9.65232e-01  9.65232e-01  -5.76e-16
 1.00e+00  1.89207e-01  1.89207e-01  7.85652e-01  7.85652e-01  -2.93e-16
 1.00e+01  8.21160e-01  8.21160e-01  5.04043e-01  5.04043e-01   1.35e-16
 1.00e+02  2.17015e+00  2.17015e+00  3.61583e-01  3.61583e-01   0.00e+00
 1.00e+03  4.62482e+00  4.62482e+00  3.03752e-01  3.03752e-01  -1.92e-16
 1.00e+04  9.00025e+00  9.00025e+00  2.77749e-01  2.77749e-01  -1.97e-16
 1.00e+05  1.67828e+01  1.67828e+01  2.64894e-01  2.64894e-01   2.12e-16
 1.00e+06  3.06228e+01  3.06228e+01  2.58164e-01  2.58164e-01   1.16e-16
 1.00e+07  5.52341e+01  5.52341e+01  2.54526e-01  2.54526e-01   1.29e-16
 1.00e+08  9.90000e+01  9.90000e+01  2.52525e-01  2.52525e-01   0.00e+00
 1.00e+09  1.76828e+02  1.76828e+02  2.51414e-01  2.51414e-01   0.00e+00
 1.00e+10  3.15228e+02  3.15228e+02  2.50793e-01  2.50793e-01   0.00e+00
 1.00e+11  5.61341e+02  5.61341e+02  2.50445e-01  2.50445e-01  -2.03e-16
 1.00e+12  9.99000e+02  9.99000e+02  2.50250e-01  2.50250e-01   0.00e+00
 1.00e+13  1.77728e+03  1.77728e+03  2.50141e-01  2.50141e-01   1.28e-16
 1.00e+14  3.16128e+03  3.16128e+03  2.50079e-01  2.50079e-01   0.00e+00
 1.00e+15  5.62241e+03  5.62241e+03  2.50044e-01  2.50044e-01   0.00e+00
 1.00e+16  9.99900e+03  9.99900e+03  2.50025e-01  2.50025e-01  -1.82e-16
 1.00e+17  1.77818e+04  1.77818e+04  2.50014e-01  2.50014e-01   0.00e+00
 1.00e+18  3.16218e+04  3.16218e+04  2.50008e-01  2.50008e-01   0.00e+00
 1.00e+19  5.62331e+04  5.62331e+04  2.50004e-01  2.50004e-01   1.29e-16
 1.00e+20  9.99990e+04  9.99990e+04  2.50003e-01  2.50003e-01   0.00e+00 
