"1","Until I Find You","18"
"2","Straight From the Heart","18"
"3","Diana","19"
"4","Let's Fall in Love","19"
"5","American Woman","20"
"6","Never Say Never","21"
"7","Overboard","2"
"8","Boyfriend","1"
"9","As Long As You Love Me","21"
"10","Close Your Eyes","22"
"11","Winter Lady","23"
"12","Stories of the Street","23"
"13","My Heart Will Go On","24"
"14","Alone","24"
"15","Things Can Only Get Better","25"
"16","The Boomin' System","26"
"17","Phenomenon","26"
"18","Por Amar Se Da Todo","27"
"19","Another Friday Night","28"
"20","Anything But Mine","28"
"21","Lights Out","29"
"22","Chemical World","28"
"23","Hollow Ponds","29"
"24","Thriller","31"
"25","Beat It","31"
"26","Billie Jean","31"
"27","Hold My Hand","31"
"28","Watch That Man","32"
"29","Walk This Way","33"
"30","Sweet Emotion","33"
"31","Staring At The Sun","34"
"32","Vertigo","34"
"33","Back To December","35"
"34","Ship To Wreck","36"
"35","Imagine","5"
"36","I Want To Hold Your Hand","37"
"37","Nowhere Man","37"
"38","The Thing That Should Not Be","38"
"39","Footprints","39"
"40","Say Say Say","39"
"41","Pot of Gold","2"
"42","High Voltage","40"
"43","Message of Love","41"
"44","Stronger","42"
"45","Robot Rock","43"
"46","Happy","44"
"47","Mess Around","45"
"48","The Midnight Hour","45"
"49","A Te O Cara (I Puritani Act I)","46"
"50","Time On My Hands","47"
"51","Team","48"
"52","Hunter","49"
"53","The River","50"
"54","Absent Minded Me","51"
"55","Bad Romance","52"
"56","The Edge of Glory","52"
"57","Blues In The Night","53"
"58","When It's All Over","54"
"59","Empire State of Mind","55"
"60","Run This Town","55"
"61","My Boo","56"
"62","Edge of Seventeen","57"
"63","Leather And Lace","57"
"64","Hotel California","1"
"65","Mirrors","58"
"66","Born To Be Wild","59"
"67","Welcome To The Jungle","60"
