logPPgdp logFertility Purban Locality
6.614710 1.91692261 22 "Afghanistan"
10.363040 0.82417544 43 "Albania"
10.800900 1.02961942 58 "Algeria"
9.529431 1.97408103 35 "Angola"
12.806348 0.89199804 88 "Argentina"
9.424166 0.13976194 67 "Armenia"
14.197524 0.53062825 91 "Australia"
14.505563 0.24686008 67 "Austria"
9.440869 0.74193734 52 "Azerbaijan"
13.858758 0.82855182 89 "Bahamas"
13.552189 0.97832612 93 "Bahrain"
8.430453 1.24126859 26 "Bangladesh"
13.176017 0.40546511 51 "Barbados"
10.249113 0.18232156 70 "Belarus"
14.448052 0.50681760 97 "Belgium"
11.608717 1.14740245 48 "Belize"
8.495855 1.73342389 43 "Benin"
15.444077 0.51282363 100 "Bermuda"
7.912889 1.61342993 7 "Bhutan"
9.868823 1.34025042 63 "Bolivia"
10.125413 0.26236426 43 "Bosnia-Herzegovina"
11.487840 1.30833282 49 "Botswana"
11.495855 0.79299252 82 "Brazil"
13.602119 0.90825856 73 "Brunei"
10.663558 0.09531018 67 "Bulgaria"
7.665336 1.89911799 17 "Burkina.Faso"
6.741467 1.91692261 9 "Burundi"
7.864186 1.56234630 18 "Cambodia"
9.121534 1.52822786 50 "Cameroon"
14.450245 0.39204209 79 "Canada"
10.298063 1.19392247 64 "Cape.Verde"
7.918863 1.59330853 42 "Central.African.Rep"
6.988685 1.89461685 24 "Chad"
11.962896 0.85441533 86 "Chile"
9.842350 0.60431597 37 "China"
14.520312 0.00000000 100 "Hong.Kong"
13.801809 0.09531018 99 "Macao"
10.891784 0.96317432 75 "Colombia"
8.118941 1.58923521 34 "Comoros"
9.605480 1.83896107 66 "Congo"
12.099348 1.25276297 59 "Cook.Islands"
12.018200 0.82417544 60 "Costa.Rica"
9.315150 1.55392520 44 "Cote.dIvoire"
12.154185 0.50077529 58 "Croatia"
11.313450 0.43825493 76 "Cuba"
13.482934 0.64185389 70 "Cyprus"
12.425478 0.14842001 75 "Czech.Rep"
7.108524 1.90210753 31 "Dem.Rep.Congo"
14.885363 0.57097955 85 "Denmark"
9.677720 1.74046617 84 "Djibouti"
11.287712 0.99694863 66 "Dominican.Rep"
10.476746 1.01523068 63 "Ecuador"
10.440869 1.19088756 43 "Egypt"
11.096056 1.05779029 62 "El.Salvador"
11.943980 1.77325600 49 "Equatorial.Guinea"
7.467606 1.69193913 19 "Eritrea"
11.969387 0.19885086 69 "Estonia"
6.491853 1.81482474 16 "Ethiopia"
10.998590 1.05779029 50 "Fiji"
14.517669 0.54812141 59 "Finland"
14.424560 0.63657683 76 "France"
12.917559 1.20297230 75 "Fr.Guiana"
13.761863 0.89199804 53 "Fr.Polynesia"
11.722381 1.38379123 82 "Gabon"
8.228819 1.54756251 31 "Gambia"
9.231221 0.33647224 57 "Georgia"
14.452370 0.30010459 88 "Germany"
8.049849 1.41342303 36 "Ghana"
13.388959 0.23901690 60 "Greece"
13.333575 0.74193734 100 "Guadeloupe"
10.745674 1.48387469 40 "Guatemala"
8.550747 1.76130026 28 "Guinea"
7.442943 1.96009478 32 "Guinea-Bissau"
9.870365 0.83724752 36 "Guyana"
8.751544 1.38128182 37 "Haiti"
9.906891 1.31372367 54 "Honduras"
12.346791 0.18232156 65 "Hungary"
14.735609 0.66782937 93 "Iceland"
8.867279 1.10194008 28 "India"
9.405141 0.85441533 42 "Indonesia"
12.462758 0.84586827 65 "Iran"
14.705902 0.64185389 59 "Ireland"
14.199672 0.99325177 92 "Israel"
14.208234 0.20701417 67 "Italy"
11.545930 0.85866162 57 "Jamaica"
14.989927 0.27763174 79 "Japan"
10.753217 1.27256560 79 "Jordan"
10.492855 0.66782937 56 "Kazakhstan"
8.519636 1.38629436 34 "Kenya"
8.870365 1.33500107 39 "Kiribati"
9.157347 0.34358970 61 "N.Korea"
13.128478 0.70309751 83 "S.Korea"
14.034627 0.97832612 96 "Kuwait"
8.257388 0.97077892 34 "Kyrgyzstan"
8.339850 1.56444055 20 "Laos"
11.649256 0.09531018 60 "Latvia"
12.312599 0.77932488 90 "Lebanon"
8.710806 1.34547237 29 "Lesotho"
8.000000 1.91692261 46 "Liberia"
12.315999 1.10525683 88 "Libya"
15.074476 0.49469624 22 "Liechtenstein"
11.749031 0.22314355 69 "Lithuania"
15.393424 0.54812141 92 "Luxembourg"
8.118941 1.74046617 30 "Madagascar"
7.011227 1.80828877 15 "Malawi"
11.871905 1.06471074 58 "Malaysia"
10.927037 1.67335124 28 "Maldives"
7.643856 1.94591015 31 "Mali"
13.174458 0.57097955 91 "Malta"
