Locality ModernC Change PPgdp Frate Pop Fertility Purban
"Algeria" 49 1.67 1784 7 31800 2.80 58
"Armenia" 22 -0.45 687 51 3061 1.15 67
"Australia" 72 0.96 18788 55 19730 1.70 91
"Austria" 43 0.05 23260 49 8116 1.28 67
"Azerbaijan" 12 0.89 695 43 8370 2.10 52
"Bahamas" 60 1.13 14856 66 314 2.29 89
"Bahrain" 31 2.17 12012 19 724 2.66 93
"Bangladesh" 43 2.02 345 56 146736 3.46 26
"Barbados" 53 0.35 9255 62 270 1.50 51
"Belarus" 42 -0.45 1217 53 9896 1.20 70
"Belgium" 74 0.21 22351 43 10319 1.66 97
"Belize" 42 2.06 3123 39 256 3.15 48
"Benin" 3 2.65 361 58 6736 5.66 43
"Bolivia" 25 1.89 935 60 8808 3.82 63
"Botswana" 32 0.85 2872 48 1785 3.70 49
"Brazil" 70 1.24 2888 54 178471 2.21 82
"Bulgaria" 46 -0.85 1622 46 7896 1.10 67
"Burkina.Faso" 5 2.95 203 79 13002 6.68 17
"Burundi" 1 3.10 107 91 6825 6.80 9
"Cambodia" 19 2.40 233 74 14143 4.77 18
"Canada" 73 0.77 22385 60 31510 1.48 79
"Cape.Verde" 46 2.01 1259 41 463 3.30 64
"Central.African.Rep" 3 1.29 242 69 3865 4.92 42
"Chad" 1 2.96 127 64 8598 6.65 24
"China" 83 0.73 918 73 1304196 1.83 37
"Hong.Kong" 80 1.07 23499 51 7050 1.00 100
"Colombia" 64 1.59 1900 57 44222 2.62 75
"Cook.Islands" 60 0.16 4388 41 19 3.50 59
"Costa.Rica" 65 1.93 4148 42 4173 2.28 60
"Cote.dIvoire" 7 1.62 637 42 16630 4.73 44
"Cuba" 67 0.27 2545 41 11301 1.55 76
"Czech.Rep" 45 -0.10 5501 51 10235 1.16 75
"Denmark" 72 0.24 30265 74 5364 1.77 85
"Dominican.Rep" 59 1.49 2500 41 8745 2.71 66
"Ecuador" 52 1.49 1425 59 13003 2.76 63
"Egypt" 54 1.99 1390 20 71931 3.29 43
"El.Salvador" 54 1.55 2189 45 6516 2.88 62
"Estonia" 56 -1.10 4010 58 1323 1.22 69
"Ethiopia" 6 2.46 90 72 70678 6.14 16
"Fiji" 40 0.98 2046 39 839 2.88 50
"Finland" 75 0.18 23456 64 5207 1.73 59
"France" 69 0.47 21990 48 60144 1.89 76
"Gambia" 7 2.66 300 45 1426 4.70 31
"Georgia" 20 -0.92 601 58 5126 1.40 57
"Germany" 72 0.07 22418 49 82476 1.35 88
"Guatemala" 31 2.55 1717 23 12347 4.41 40
"Haiti" 22 1.32 431 49 8326 3.98 37
"Honduras" 51 2.34 960 43 6941 3.72 54
"Hungary" 68 -0.46 5209 46 9877 1.20 65
"India" 43 1.51 467 34 1065462 3.01 28
"Indonesia" 55 1.26 678 52 219884 2.35 42
"Iran" 56 1.24 5645 11 68920 2.33 65
"Italy" 39 -0.10 18928 36 57423 1.23 67
"Jamaica" 63 0.92 2990 55 2651 2.36 57
"Japan" 53 0.14 32540 49 127654 1.32 79
"Jordan" 38 2.66 1726 13 5473 3.57 79
"Kazakhstan" 53 -0.36 1441 62 15433 1.95 56
"Kenya" 32 1.45 367 71 31988 4.00 34
"Kiribati" 27 1.41 468 68 77 3.80 39
"S.Korea" 67 0.57 8955 49 47700 2.02 83
"Kuwait" 41 3.46 16782 43 2521 2.66 96
"Kyrgyzstan" 49 1.40 306 59 5138 2.64 34
"Latvia" 39 -0.93 3212 50 2307 1.10 60
"Lithuania" 40 -0.58 3442 55 3443 1.25 69
"Malawi" 26 2.01 129 76 12105 6.10 15
"Malaysia" 30 1.93 3748 47 24425 2.90 58
"Marshall.Is" 18 1.19 1938 30 51 3.68 66
"Mauritius" 49 0.96 3787 39 1222 1.95 42
"Mexico" 58 1.45 6150 38 103457 2.50 75
"Mongolia" 46 1.29 417 55 2594 2.42 57
"Morocco" 42 1.62 1145 30 30566 2.75 56
"Namibia" 26 1.42 1639 48 1987 4.56 31
"Nepal" 35 2.23 226 49 25165 4.26 12
"Netherlands" 76 0.50 23785 54 16149 1.72 90
"New.Zealand" 72 0.77 13185 57 3876 2.01 86
"Nicaragua" 57 2.43 489 36 5466 3.75 57
"Niger" 5 3.62 176 22 11972 8.00 21
"Nigeria" 9 2.53 435 37 124009 5.42 45
"Norway" 69 0.43 36445 69 4533 1.80 75
"Oman" 18 2.93 7421 16 2851 4.96 77
"Pakistan" 17 2.44 418 16 153578 5.08 33
"Panama" 54 1.84 3391 43 3120 2.70 57
"Paraguay" 48 2.37 1286 53 5878 3.84 57
"Peru" 50 1.50 2053 59 27167 2.86 73
"Philippines" 28 1.79 924 53 79999 3.18 59
"Poland" 19 -0.08 4657 50 38588 1.26 63
"Portugal" 33 0.13 10944 54 10062 1.45 66
"Puerto.Rico" 68 0.52 19083 26 3880 1.89 76
"Qatar" 32 1.54 30493 28 610 3.22 93
"Moldova" 50 -0.11 346 43 4267 1.40 41
"Reunion" 62 1.45 9188 42 757 2.30 72
"Romania" 30 -0.23 1698 56 22334 1.32 55
"Russia" 54 -0.57 2139 52 143247 1.14 73
"Rwanda" 4 2.16 205 85 8387 5.74 6
"Saint.Kitts.and.Nevis" 37 -0.30 8426 57 46 2.41 34
"Saint.Lucia" 46 0.78 4994 60 149 2.27 38
"St.Vincent/Grenadines" 55 0.58 2940 36 120 2.23 56
"Samoa" 34 0.97 1402 40 178 4.12 22
"Saudi.Arabia" 29 2.92 7724 15 24217 4.53 87
"Senegal" 8 2.39 479 24 10094 4.97 48
"Singapore" 73 1.69 20755 56 4252 1.36 100
"Slovakia" 41 0.08 3767 53 5402 1.28 58
"South.Africa" 55 0.59 2550 50 45026 2.61 58
"Spain" 67 0.21 14234 40 41061 1.15 78
"Sri.Lanka" 44 0.81 827 37 19065 2.01 23
"Sudan" 7 2.17 376 29 33610 4.39 37
"Swaziland" 17 0.80 1204 28 1078 4.54 27
"Sweden" 71 0.09 23680 76 8877 1.64 83
"Switzerland" 78 -0.05 34449 58 7169 1.41 67
"Syria" 28 2.38 4976 21 17799 3.32 52
"Thailand" 70 1.01 1858 65 62833 1.93 20
"Trinidad.and.Tobago" 44 0.34 6817 47 1303 1.55 75
"Tunisia" 51 1.07 2077 24 9832 2.01 66
"Turkey" 38 1.42 2136 26 71325 2.43 66
"Turkmenistan" 53 1.54 1263 62 4867 2.70 45
"Ukraine" 38 -0.78 763 51 48523 1.15 68
"United.Arab.Emirates" 24 1.94 19816 31 2995 2.82 87
"United.Kingdom" 82 0.31 24186 53 59251 1.60 90
"USA" 71 1.03 34788 60 294043 2.11 77
"Uzbekistan" 51 1.51 418 61 26093 2.44 37
"Vanuatu" 15 2.43 1085 79 212 4.13 22
"Venezuela" 40 1.86 5009 46 25699 2.72 87
"Viet.Nam" 56 1.35 416 74 81377 2.30 25
"Yemen" 10 3.52 431 2 20010 7.01 25
"Zimbabwe" 50 0.49 703 65 12892 3.90 36
