Temp Pres Fail n Erosion BlowBy Damage ID Date 
66 50 0 6 0 0 0 1 4/12/81 
70 50 1 6 1 0 4 2 11/12/81 
69 50 0 6 0 0 0 3 3/22/82 
68 50 0 6 0 0 0 5 11/11/82 
67 50 0 6 0 0 0 6 4/4/83 
72 50 0 6 0 0 0 7 6/18/83 
73 50 0 6 0 0 0 8 8/30/83 
70 100 0 6 0 0 0 9 11/28/83 
57 100 1 6 1 0 4 41-B 2/3/84 
63 200 1 6 1 0 2 41-C 4/6/84 
70 200 1 6 1 0 4 41-D 8/30/84 
78 200 0 6 0 0 0 41-G 10/5/84 
67 200 0 6 0 0 0 51-A 11/8/84 
53 200 2 6 3 2 11 51-C 1/24/85 
67 200 0 6 0 0 0 51-D 4/12/85 
75 200 0 6 0 0 0 51-B 4/29/85 
70 200 0 6 0 0 0 51-G 6/17/85 
81 200 0 6 0 0 0 51-F 7/29/85 
76 200 0 6 0 0 0 51-I 8/27/85 
79 200 0 6 0 0 0 51-J 10/3/85 
75 200 2 6 0 2 4 61-A 10/30/85 
76 200 0 6 0 0 0 61-B 11/26/85 
58 200 1 6 1 0 4 61-C 1/12/86 
