Species MaxDepth MeanDepth Cond Elev Lat Long Dist NLakes Photo Area Lake 
30 406 148 79 185 47.5 88 0.12 2183 200 8.24e+06 Superior 
32 281 84 226 180 44 87 0.12 633 550 5.8e+06 Michigan 
19 613 73 215 159 62 113 0.12 8805 11 2.86e+06 Great_Slave 
31 64 17 242 178 42 81 0.12 105 696 2.58e+06 Erie 
25 38 12 205 219 52 97 0.12 301 66 2.37e+06 Winnipeg 
12 404 313 92 1914 39.1 120.1 0.25 87 219 48800 Tahoe 
14 30 9.7 1600 187 33.8 96.7 0.5 113 700 38000 Texoma 
17 16.8 6.8 298 112 43.2 75.9 2.25 37 822 20700 Oneida 
12 9 6.5 256 404 39 122.8 0.25 20 440 16200 Clear 
15 117 17.2 130 208 45.1 72.3 0.25 57 197 9000 Memphremagog 
17 65.2 32.9 90 6.3 47.6 122.4 1.75 46 263 8760 Washington 
3 589 325 113 1882 42.9 122.1 14 4 142 4800 Crater 
17 25.3 12.4 320 259 43.1 88.4 1.25 32 938 3940 Mendota 
17 35.7 14.6 85 496 46 89.7 0.5 441 419 1610 Trout 
17 33.5 12.4 335 270 42.4 85.4 0.25 128 280 827 Gull 
9 4.9 3.5 NA 11 28 82.1 2.25 184 1250 345 Thonotosassa 
8 25 7 63 725 68.6 149.6 0.125 285 38 149 Toolik 
15 6.4 2.7 574 263 43.1 89.4 0.75 20 945 140 Wingra 
16 20 10.9 72 499 46 89.7 0.25 195 367 81.5 Sparkling 
7 2.8 2.1 NA 0.5 71.3 156.7 0.375 660 23 61 Imikpuk 
3 27.5 10.2 222 34 74.7 94.8 0.875 70 11.2 52.6 Char 
14 20.4 10.4 14 506 46 89.6 0.25 208 408 36.7 Crystal 
10 8.5 2.5 60 190 33.8 83.2 0.5 44 370 30 Oglethorp 
16 14.4 7.2 NA 405 49.7 93.7 0.12 199 124 27.3 Lake_223 
10 12.5 5.1 23 438 41.4 75.3 0.75 100 NA 20.2 Lacawac 
9 42 15.8 21 480 49.3 122.6 0.62 37 1 18.2 Eunice 
16 10.3 3.5 12.6 500 46 89.7 0.25 208 343 18.2 Little_Rock 
4 7.5 1.89 NA 3209 40.1 105.6 1.75 61 4.24 15.8 Long_lake 
10 10.9 5.6 31 214 43.9 71.7 3 24 129 15 Mirror 
10 7 2.4 26 305 49.3 122.6 1.62 33 22 13.3 Marion 
10 27 13.4 13.2 522 49.3 122.6 0.37 38 157 13 Gwendoline 
15 16.2 6.04 350 295 44 79.4 0.5 22 1500 10.3 St._George 
8 14.8 6.7 NA 8.9 41.3 72.7 0.25 36 685 9.4 Linsley 
12 9.5 3.4 NA 253 42.3 83.6 0.25 26 NA 8.3 Frain's 
14 12.5 5.9 450 276 42.4 85.4 2 127 99 4.96 Lawrence 
10 3.7 1.91 NA 21.5 41.4 71.6 0.75 58 NA 3.44 Bullhead 
11 19.3 8.3 30 522 46.2 89.2 0.75 169 284 2.4 Peter 
13 2.9 1.7 1360 580 50.3 100.4 0.5 806 1190 2.4 Manitoba_885 
10 1.5 0.7 400 301 43 89.5 2.75 19 NA 1.6 Bavarian_Saus. 
11 6.3 3.5 NA 274 42.4 85.4 0.37 116 1011 1.5 Wintergreen 
7 1.7 0.97 30 3097 38.8 107.1 2.62 31 20 1.4 Leechmere 
8 10 8 NA 97 40.6 75.3 2 9 NA 1 Hellertown 
9 18.5 10 18.5 522 46.2 89.2 0.75 169 368 0.79 Tuesday_Bog 
9 2.5 2 NA 209 40 87.9 0.75 5 NA 0.6 Dynamite 
7 4.5 2.1 33 3433 39 107.1 0.75 35 3.5 0.498 M.C._L1 
8 2 1 248 261 43.6 89.3 1.5 48 NA 0.429 Dead_Dog_Pond 
14 2 1.31 NA 21.5 41.4 71.6 0.75 58 NA 0.372 Little_Bullhead 
9 2 0.21 339 187 41.6 87.1 0.75 7 NA 0.265 Miller_Wds._22 
7 3.4 1.4 15 3432 39 107.1 0.75 35 1 0.17 M.C._L12 
7 0.6 0.2 NA 257 42.2 83.6 3.75 16 NA 0.159 Pond_II 
6 2.19 1.52 205 338 42.5 76.5 1.12 10 334 0.121 Cornell_209 
6 2.22 1.53 215 338 42.5 76.5 1.12 10 958 0.121 Cornell_246 
8 0.4 0.3 NA 5 71.3 156.7 0.25 793 1.6 0.0714 NARL_IBP_A+B 
3 0.6 0.3 NA 307 44.1 78.5 1.5 10 NA 0.0707 Kendal_II 
3 0.1 0.04 245 307 32.8 117.2 6.75 5 NA 0.0617 Tu-Vu_11 
6 1.2 0.6 320 1720 38.7 109.9 1.75 5 NA 0.052 Dubinkey 
8 0.4 0.3 NA 5 71.3 156.7 0.25 793 1.9 0.05 NARL_IBP_D 
8 0.4 0.3 NA 5 71.3 156.7 0.25 793 1.4 0.0332 NARL_IBP_C 
