GNP Def Unemp Mil Pop Year Emp
234289 83 2356 1590 107608 1947 60323
259426 88.5 2325 1456 108632 1948 61122
258054 88.2 3682 1616 109773 1949 60171
284599 89.5 3351 1650 110929 1950 61187
328975 96.2 2099 3099 112075 1951 63221
346999 98.1 1932 3594 113270 1952 63639
365385 99 1870 3547 115094 1953 64989
363112 100 3578 3350 116219 1954 63761
397469 101.2 2904 3048 117388 1955 66019
419180 104.6 2822 2857 118734 1956 67857
442769 108.4 2936 2798 120445 1957 68169
444546 110.8 4681 2637 121950 1958 66513
482704 112.6 3813 2552 123366 1959 68655
502601 114.2 3931 2514 125368 1960 69564
518173 115.7 4806 2572 127852 1961 69331
554894 116.9 4007 2827 130081 1962 70551
