AGE,SEX,STATUS
23,MALE,DIED
40,FEMALE,SURVIVED
40,MALE,SURVIVED
30,MALE,DIED
28,MALE,DIED
40,MALE,DIED
45,FEMALE,DIED
62,MALE,DIED
65,MALE,DIED
45,FEMALE,DIED
25,FEMALE,DIED
28,MALE,SURVIVED
28,MALE,DIED
23,MALE,DIED
22,FEMALE,SURVIVED
23,FEMALE,SURVIVED
28,MALE,SURVIVED
15,FEMALE,SURVIVED
47,FEMALE,DIED
57,MALE,DIED
20,FEMALE,SURVIVED
18,MALE,SURVIVED
25,MALE,DIED
60,MALE,DIED
25,MALE,SURVIVED
20,MALE,SURVIVED
32,MALE,SURVIVED
32,FEMALE,SURVIVED
24,FEMALE,SURVIVED
30,MALE,SURVIVED
15,MALE,DIED
50,FEMALE,DIED
21,FEMALE,SURVIVED
25,MALE,DIED
46,MALE,SURVIVED
32,FEMALE,SURVIVED
30,MALE,DIED
25,MALE,DIED
25,MALE,DIED
25,MALE,DIED
30,MALE,DIED
35,MALE,DIED
23,MALE,SURVIVED
24,MALE,DIED
25,FEMALE,SURVIVED
