cash,credit,gender,cluster
300,2,male,robartCafe
2,1,female,robartCafe
30,1,male,robartCafe
10,2,female,robartCafe
75,1,male,robartCafe
20,7,male,robartCafe
18,4,male,robartCafe
0,2,male,robartCafe
5,1,male,robartCafe
20,1,female,robartCafe
45,2,female,robartCafe
10,1,male,robartCafe
4,2,male,robartCafe
30,1,male,robartCafe
25,2,male,robartCafe
20,2,female,robartCafe
20,2,male,robartCafe
0,0,female,robartCafe
300,2,male,robartCafe
100,4,male,robartCafe
2,3,female,robartCafe
30,2,female,robartCafe
0.25,0,male,robartCafe
4,4,female,robartCafe
40,1,male,robartCafe
0,1,male,robartCafe
3.2,3,female,robartCafe
30,1,female,robartCafe
55,3,male,robartCafe
200,4,female,robartCafe
40,1,female,robartCafe
190.25,2,female,robartCafe
30,3,male,robartCafe
50,2,female,robartCafe
5,2,male,robartCafe
170.4,1,male,robartCafe
120,1,female,robartCafe
125.9,1,female,robartCafe
0,2,female,robartCafe
1,1,female,robartCafe
20,1,male,robartCafe
50,3,female,robartCafe
40,1,female,robartCafe
200,1,male,robartCafe
0,1,male,mat334
200,1,female,mat334
50,1,female,mat334
270,3,male,mat334
20.3,0,male,mat334
100,2,male,mat334
70,3,male,mat334
15,1,female,mat334
65,3,male,mat334
30,1,male,mat334
150,2,male,mat334
100,1,male,mat334
420,3,male,mat334
340,3,male,mat334
5,1,female,mat334
40,4,male,mat334
20,2,male,mat334
0,1,male,mat334
50,3,male,mat334
170,5,female,mat334
330,3,female,mat334
10,3,female,sta302
40,3,female,sta302
5,1,male,sta302
60,2,female,sta302
10,1,male,sta302
5,2,female,sta302
0,3,female,sta302
5,2,male,sta302
21,5,male,sta302
20,4,female,sta302
56,1,female,sta302
85,2,female,sta302
3,2,male,sta302
60,2,male,sta302
50,2,female,sta302
21.4,5,female,sta302
11,2,female,sta302
50,2,female,sta302
0,1,female,sta302
5.35,1,male,sta304
40,4,female,sta304
100,3,female,sta304
93,1,female,sta304
2000,3,male,sta304
35,2,female,sta304
100,4,female,sta304
0,2,female,sta304
80,2,male,sta304
20,1,female,sta304
37.2,2,female,sta304
60,1,male,sta304
80,1,female,sta304
72,2,female,sta304
12,1,male,sta304
57,4,female,sta304
83,11,female,sta304
180,2,female,sta304
0,1,male,sta304
0,4,male,sta304
100,1,female,sta304
0,1,male,sta304
60,0,female,sta304
44.25,2,male,sta304
50,2,female,sta304
35,0,male,sta304
130,1,male,sta304
290,4,female,sta304
100,2,male,sta304
25,4,female,sta304
35,4,female,sta304
45,1,male,sta304
150,2,male,sta304
0.6,2,female,sta304
60,2,female,sta304
1.9,4,female,sta304
25,3,female,sta304
0,3,female,sta304
240,2,female,sta304
90,4,female,sta304
25,1,male,sta304
20,3,male,sta304
48.75,1,male,sta304
40,1,female,sta304
0,1,female,sta304
0,2,male,sta304
70,3,female,sta304
0,3,female,sta304
25,4,female,sta304
20,1,male,sta304
35,4,female,sta304
0,1,male,sta304
29,3,female,sta304
5,2,male,sta304
62,3,female,sta304
6.15,4,male,sta304
0,1,female,sta304
190,3,female,sta304
165,2,female,sta304
60,3,male,sta304
40,1,male,sta304
45,1,female,sta304
10,6,male,sta304
20,1,female,sta304
7.25,1,female,sta304
35,2,female,sta304
1.25,1,female,sta304
20,3,female,sta304
0.35,0,female,sta304
45,2,female,sta304
30,3,female,sta304
80,2,male,sta304
20,3,female,sta304
30,3,female,sta304
200,3,female,sta304
0,2,female,sta304
260,2,male,sta304
NA,NA,female,sta304
NA,NA,female,sta304
NA,NA,female,sta304
