response,group
8.8,A
10.6,A
10.6,A
7.6,A
7.7,A
10,A
10.2,A
9,A
6.3,A
10.8,A
8.1,A
9.3,A
12.2,A
9.4,A
8.5,A
9.5,A
9.9,A
9.6,A
13.2,A
12.5,A
14.1,B
12.2,B
11.1,B
13.5,B
12.6,B
9.8,B
11,B
14.5,B
13.4,B
8.4,B
14.3,B
9.7,B
10.2,B
13,B
11.6,B
10.1,B
8.9,B
8.8,B
11,B
12.2,B
10.4,C
9.1,C
10.5,C
7.6,C
8.3,C
7.7,C
6.6,C
7.9,C
10.3,C
8.5,C
7.5,C
8.5,C
10.8,C
9.5,C
10.6,C
10.1,C
12,C
11.5,C
3.1,C
11.3,C
10.3,D
5.2,D
10.5,D
7.5,D
10.3,D
9.8,D
11.8,D
6.1,D
9.2,D
8.1,D
10.9,D
8.9,D
7.7,D
8.3,D
8.3,D
12.3,D
9.4,D
7.9,D
6.9,D
11.2,D
