team ,leagueID,player,salary,POS,G,GS,InnOuts,PO,A,E,DP,PB,GB,AB,R,H,SecB,ThiB,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
ANA,AL,anderga0,6200000,CF,112,92,2375,211,5,2,1,.,112,442,57,133,20,1,14,75,2,1,29,75,6,1,0,3,3
ANA,AL,colonba0,11000000,P,3,34,625,8,30,3,4,.,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ANA,AL,davanje0,375000,CF,108,27,743,75,1,0,1,.,108,285,41,79,11,4,7,34,18,3,46,54,2,0,1,5,2
ANA,AL,donnebr0,375000,P,5,0,126,2,2,0,0,.,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA,AL,eckstda0,2150000,SS,142,136,3575,198,309,6,75,.,142,566,92,156,24,1,2,35,16,5,42,49,1,13,14,2,11
ANA,AL,erstada0,7750000,1B,125,124,3196,986,66,4,83,.,125,495,79,146,29,1,7,69,16,1,37,74,1,4,3,4,9
ANA,AL,escobke0,5750000,P,1,33,625,16,24,0,1,.,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA,AL,figgich0,320000,3B,148,80,2116,57,129,11,9,.,148,577,83,171,22,17,5,60,34,13,49,94,0,0,10,2,6
ANA,AL,glaustr0,9900000,3B,58,19,495,11,27,2,2,.,58,207,47,52,11,1,18,42,2,3,31,52,3,3,0,1,6
ANA,AL,greggke0,301500,P,5,0,263,2,5,0,1,.,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA,AL,guerrvl0,11000000,RF,156,143,3702,308,13,9,2,.,156,612,124,206,39,2,39,126,15,3,52,74,14,8,0,8,19
ANA,AL,guilljo0,2200000,LF,148,135,3471,266,9,6,1,.,148,565,88,166,28,3,27,104,5,4,37,92,5,15,0,3,14
ANA,AL,haltesh0,575000,3B,46,22,640,26,46,10,2,.,46,114,10,23,5,0,4,13,1,1,7,30,0,0,0,0,3
ANA,AL,kennead0,2500000,2B,144,138,3675,255,388,12,71,.,144,468,70,130,20,5,10,48,15,5,41,92,7,13,9,2,10
ANA,AL,lackejo0,375000,P,2,32,595,15,23,0,1,.,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ANA,AL,molinbe0,2025000,C,97,89,2286,597,56,3,5,6,97,337,36,93,13,0,10,54,0,1,18,35,1,2,2,4,18
ANA,AL,molinjo0,335000,C,73,57,1573,441,37,3,4,3,73,203,26,53,10,2,3,25,4,1,10,52,0,0,5,0,6
ANA,AL,ortizra0,3266667,P,1,14,384,6,13,2,1,.,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANA,AL,pauljo01,335000,C,46,16,504,134,9,1,2,2,46,70,11,17,3,0,2,10,2,1,7,17,0,0,3,1,2
ANA,AL,percitr0,7833333,P,3,0,149,1,3,0,0,.,3,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0
ANA,AL,rodrifr0,375000,P,3,0,252,5,9,0,0,.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA,AL,salmoti0,9900000,RF,60,5,117,15,1,0,0,.,60,186,15,47,7,0,2,23,1,0,14,41,0,2,0,4,2
ANA,AL,seleaa01,8666667,P,1,24,396,3,10,2,2,.,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ANA,AL,shielsc0,375000,P,3,0,316,6,13,1,0,.,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ANA,AL,washbja0,5450000,P,3,25,448,3,22,1,2,.,3,5,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0
ANA,AL,weberbe0,900000,P,18,0,67,0,0,0,0,.,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,NL,alomaro0,1000000,2B,38,23,610,48,53,3,10,.,38,110,14,34,5,2,3,16,0,2,12,18,0,1,2,0,2
ARI,NL,baergca0,1000000,1B,79,4,107,32,4,0,2,.,79,85,6,20,2,0,2,11,0,0,6,12,0,3,0,0,7
ARI,NL,bautida0,4000000,RF,141,135,3536,265,8,4,1,.,141,539,64,154,27,1,11,65,6,2,35,66,2,4,1,3,20
ARI,NL,choatra0,325750,P,69,0,152,3,10,0,1,.,69,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ARI,NL,cintral0,335000,SS,154,125,3297,141,383,15,61,.,154,564,56,148,31,7,4,49,3,3,31,59,2,2,12,4,11
ARI,NL,colbrgr0,2750000,1B,20,1,27,7,1,0,0,.,20,27,1,3,0,0,0,1,0,0,1,5,0,0,0,0,0
ARI,NL,daiglca0,300000,P,11,10,147,5,6,0,0,.,11,17,2,2,2,0,0,0,0,0,0,7,0,0,1,0,1
ARI,NL,desseel0,4000000,P,36,9,256,5,12,1,0,.,36,18,0,3,2,0,0,0,0,0,3,3,0,0,4,0,1
ARI,NL,estalbo0,550000,C,7,3,92,19,2,0,0,0,7,14,2,2,0,0,2,4,0,0,0,6,0,0,0,0,0
ARI,NL,finlest0,7000000,CF,104,102,2689,214,5,2,3,.,104,404,61,111,16,1,23,48,8,4,40,52,1,1,6,5,9
ARI,NL,fossuca0,345000,P,27,27,426,4,20,0,1,.,27,42,3,4,0,0,0,0,0,0,1,16,0,0,3,0,1
ARI,NL,gonzalu0,8250000,LF,105,103,2701,162,2,6,0,.,105,379,69,98,28,5,17,48,2,2,68,58,11,2,0,2,9
ARI,NL,hammoro0,315000,C,62,42,1130,313,21,1,8,5,62,195,22,47,16,2,4,18,3,3,13,39,6,0,1,1,9
ARI,NL,hillesh0,2600000,1B,148,129,3340,1127,72,13,105,.,148,562,68,174,36,3,15,80,2,0,24,49,2,12,0,6,18
ARI,NL,johnsra0,16000000,P,33,35,737,5,20,0,0,.,33,80,1,10,3,0,0,6,0,0,4,37,0,0,3,0,1
ARI,NL,katama01,315000,2B,42,35,962,75,111,2,25,.,42,162,17,40,9,2,2,13,4,1,13,29,2,0,1,1,1
ARI,NL,koplomi0,330000,P,72,0,260,6,23,2,4,.,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,NL,mantema0,7000000,P,12,0,32,1,2,0,0,.,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,NL,maynebr0,800000,1B,36,0,5,2,0,0,0,.,36,94,9,24,6,1,0,10,1,0,13,17,4,0,3,1,5
ARI,NL,nancesh0,307500,P,19,0,37,0,1,0,0,.,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,NL,randost0,322500,P,45,6,245,2,7,1,0,.,45,12,4,5,3,0,0,3,0,0,0,3,0,0,0,0,0
ARI,NL,reynosh0,1000000,P,1,1,6,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,NL,sadledo0,400000,3B,18,0,15,1,0,0,0,.,18,23,1,3,2,0,0,0,0,0,1,7,0,0,0,0,0
ARI,NL,sexsori0,8725000,1B,23,23,613,199,27,1,19,.,23,90,20,21,4,0,9,23,0,0,14,21,0,0,0,0,2
ARI,NL,sparkst0,500000,P,27,18,362,8,21,2,0,.,27,31,0,4,0,0,0,1,0,0,0,14,0,0,1,0,0
ARI,NL,valvejo0,320000,P,26,0,89,4,2,2,0,.,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
