run blend treatment  y
  1     1         A 89
  4     2         A 84
  2     3         A 81
  1     4         A 87
  3     5         A 79
  3     1         B 88
  2     2         B 77
  1     3         B 87
  3     4         B 92
  4     5         B 81
  2     1         C 97
  3     2         C 92
  4     3         C 87
  2     4         C 89
  1     5         C 80
  4     1         D 94
  1     2         D 79
  3     3         D 85
  4     4         D 84
  2     5         D 88
