cycle position treatment holder paper   y
    1        1         A      1     a 320
    2        1         C      4     b 266
    3        1         D      2     e 221
    4        1         B      3     c 301
    5        1         A      1     d 285
    6        1         C      4     h 268
    7        1         D      2     g 265
    8        1         B      3     f 306
    1        2         B      2     b 297
    2        2         D      3     a 227
    3        2         C      1     c 240
    4        2         A      4     e 238
    5        2         B      2     h 280
    6        2         D      3     d 233
    7        2         C      1     f 273
    8        2         A      4     g 271
    1        3         C      3     e 299
    2        3         A      2     c 260
    3        3         B      4     a 267
    4        3         D      1     b 243
    5        3         C      3     g 331
    6        3         A      2     f 291
    7        3         B      4     d 234
    8        3         D      1     h 270
    1        4         D      4     c 313
    2        4         B      1     e 240
    3        4         A      3     b 252
    4        4         C      2     a 290
    5        4         D      4     f 311
    6        4         B      1     g 280
    7        4         A      3     h 243
    8        4         C      2     d 272
