species genus mass ratio swamp
NA NA 2.311 6.633 1
NA NA 4.198 2.483 0
NA 4 2.655 2.96 1
NA NA 4.315 2.732 0
NA NA 2.631 3.427 1
NA NA 1.794 3.499 0
9 4 2.624 3.693 0
NA NA 5.515 2.107 0
NA 1 3.571 2.46 0
NA NA 2.855 3.375 1
NA NA 4.375 2.762 0
NA NA 2.542 5.5 1
NA NA 3.511 2.351 0
NA NA 3.666 2.755 1
NA NA 4.616 2.605 0
NA NA 6.501 2.849 0
NA NA 2.556 3.89 0
NA NA 3.927 2.463 0
NA NA 2.888 3.059 0
8 4 2.899 3.015 0
NA NA 2.296 2.538 0
NA 3 5.211 2.453 1
NA NA 3.986 2.587 0
NA NA 6.098 3.378 0
NA 1 4.051 2.574 1
10 4 2.379 6.101 1
9 4 2.697 3.104 0
NA NA 3.195 3.389 0
NA NA 3.901 2.751 0
NA 4 2.663 5.448 0
NA NA 4.549 2.812 0
NA 4 2.596 6.051 1
NA NA 3.909 2.441 0
2 1 4.031 2.407 0
NA NA 3.887 3.291 0
NA NA 6.205 2.764 0
NA NA 2.775 3.468 0
NA NA 4.577 2.586 0
NA NA 2.685 3.274 0
NA NA 1.661 3.255 1
NA NA 4.09 2.321 0
NA 4 2.831 3.755 0
NA 4 2.697 3.14 0
NA NA 2.474 3.705 0
NA 1 4.053 2.993 0
9 4 2.651 3.891 0
NA NA 4.409 2.564 0
NA NA 3.747 2.463 0
NA 3 6.155 2.53 0
NA NA 3.839 2.595 0
4 2 1.79 3.489 1
2 1 4.345 2.641 0
NA NA 2.307 2.647 0
NA NA 4.227 2.769 1
9 4 2.788 3.722 1
NA NA 2.196 3.131 1
1 1 2.354 3.521 0
NA NA 3.196 3.535 0
NA NA 3.975 2.455 0
7 3 3.609 2.633 0
NA NA 1.741 3.034 1
NA NA 2.469 2.848 0
NA NA 4.986 3.914 1
1 1 2.635 2.928 0
NA NA 5.67 2.743 1
NA NA 3.082 3.018 1
NA NA 2.641 3.478 0
NA 3 4.663 2.461 0
NA NA 5.416 3.083 0
NA 4 2.694 2.886 1
NA NA 3.838 4.026 1
NA NA 2.956 3.588 1
NA 1 3.798 2.233 1
NA NA 5.524 3.241 0
NA NA 2.118 2.573 0
NA NA 5.876 2.679 1
10 4 2.915 5.738 0
NA NA 2.634 3.314 1
NA NA 2.8 3.09 0
NA NA 2.928 5.881 1
NA NA 6.061 2.674 0
NA NA 5.383 4.296 0
NA 4 2.807 3.295 0
NA NA 5.556 2.561 1
NA NA 2.696 3.433 1
NA 4 3.169 3.657 0
NA NA 1.578 3.659 1
NA NA 2.896 3.407 0
NA NA 4.602 3.361 0
NA NA 3.383 3.963 0
6 3 5.357 2.807 0
9 4 2.489 3.179 1
NA 1 4.119 2.548 0
3 1 5.346 2.759 1
NA NA 2.626 2.977 1
NA NA 4.668 4.388 1
NA NA 2.764 3.513 0
NA NA 4.375 4.606 1
NA NA 2.923 3.825 0
NA NA 2.751 3.248 1
NA 3 4.857 2.683 0
NA NA 2.285 3.102 1
NA NA 5.369 2.718 0
NA NA 3.154 3.809 1
NA NA 4.324 3.11 0
8 4 3.114 3.761 1
NA NA 6.084 2.347 0
NA NA 4.147 2.823 0
NA NA 3.415 2.944 0
NA NA 2.854 3.686 1
NA NA 1.987 3.278 0
NA 4 2.153 3.812 0
NA 2 1.643 3.841 1
NA NA 6.143 3.011 0
NA NA 2.929 3.336 0
NA NA 1.863 3.886 1
NA NA 5.834 2.85 0
NA 4 2.95 3.404 0
NA NA 4.048 3.017 0
NA NA 2.609 3.738 1
NA NA 5.099 2.114 0
NA NA 2.816 3.321 0
NA 4 2.732 2.954 0
NA NA 3.763 2.758 0
NA NA 2.487 2.69 0
2 1 4.093 2.845 0
3 1 6.029 2.817 0
NA NA 2.583 3.435 0
NA 4 2.694 3.436 1
NA NA 1.738 3.444 1
NA NA 2.525 3.496 0
NA NA 4.515 3.656 1
2 1 3.821 2.781 0
NA NA 2.11 5.427 1
NA 1 5.243 2.495 1
NA 1 5.139 2.602 0
NA 1 5.872 3.242 0
NA NA 1.666 2.995 0
NA NA 4.83 3.944 1
NA NA 2.858 3.464 1
NA NA 2.559 3.248 0
NA NA 5.795 2.705 0
NA NA 2.784 3.601 0
NA NA 3.904 2.713 1
NA NA 5.928 2.635 0
NA NA 1.765 3.779 1
9 4 3.188 3.528 0
NA NA 5.677 3.018 0
NA NA 2.54 3.035 0
NA NA 4.902 3.782 1
NA NA 2.562 3.362 0
NA NA 2.408 3.814 1
NA 1 3.79 2.466 0
NA 2 1.648 3.221 1
NA NA 2.691 3.702 1
NA 1 2.735 2.945 1
NA NA 3.22 3.032 0
NA 2 1.854 4.382 0
NA NA 5.079 3.274 0
NA NA 5.373 2.339 0
NA NA 5.848 3.495 0
NA NA 3.999 2.187 0
NA NA 2.847 3.501 0
NA NA 2.604 3.092 0
2 1 3.648 2.504 0
NA NA 6.295 2.722 0
NA NA 3.936 2.741 0
NA 4 2.718 3.097 1
NA NA 5.773 2.139 1
NA 3 6.633 2.791 0
NA NA 3.966 2.463 0
8 4 3.163 3.5 1
2 1 4.511 2.388 0
NA NA 3.729 2.873 0
8 4 3.003 3.437 1
NA NA 2.665 3.681 0
NA NA 1.554 3.233 1
NA NA 2.551 3.393 0
NA NA 5.558 2.917 0
NA NA 5.333 4.048 1
NA NA 5.672 3.325 0
NA NA 2.633 2.848 1
9 4 2.86 3.738 0
NA 4 2.988 3.432 1
NA NA 4.164 4.489 1
NA NA 5.169 2.79 0
NA 3 3.299 2.018 0
NA NA 2.553 3.574 0
NA 2 4.303 3.996 1
NA NA 3.764 2.404 0
NA 3 6.296 2.639 0
NA 4 3.034 3.446 0
NA NA 2.87 4.428 0
9 4 2.683 3.531 1
NA 1 4.03 2.357 0
NA NA 2.952 4.146 0
NA NA 2.697 3.317 0
NA NA 4.401 2.393 0
NA NA 3.085 3.025 1
NA NA 5.123 2.635 0
NA NA 5.052 3.262 1
NA 1 4.453 2.847 0
NA NA 2.469 3.689 0
NA NA 2.904 3.517 0
NA NA 4.12 2.675 0
2 1 5.221 2.758 0
NA NA 1.406 3.649 1
NA 1 3.78 2.641 0
NA NA 4.267 2.86 0
NA NA 2 3.512 1
NA NA 3.003 3.555 0
NA NA 1.56 3.264 1
NA 4 3.359 4.06 1
NA 3 3.348 3.05 1
NA NA 3.699 2.169 0
NA NA 5.605 2.758 0
NA 1 6.408 2.84 0
6 3 5.857 2.958 0
NA NA 2.977 3.739 1
NA NA 3.224 3.314 0
NA NA 3.038 3.072 0
NA NA 5.099 2.904 0
NA 1 2.545 2.41 1
NA NA 3.819 2.828 0
NA NA 2.017 3.831 0
NA NA 2.754 2.864 1
NA NA 4.978 3.096 0
NA NA 2.921 3.389 0
